,Source,Target
0,UCVNANJylxTtNJ1fmeL04asw,UCBF3-AbzAVjSuHbcLGwfd7A
1,UCVNANJylxTtNJ1fmeL04asw,UCLMtDePlMyiqv2XC_ByNEVQ
2,UCVNANJylxTtNJ1fmeL04asw,UCMPCYuApPY36eAQhxxMkh5w
3,UCVNANJylxTtNJ1fmeL04asw,UCb-1LWeevz08s1wbp4_1YKA
4,UCVNANJylxTtNJ1fmeL04asw,UCp_RW49IudjKEw_yal7tfFw
5,UCKtxF3ufOkuJohTeKyNbYrQ,UCtvh0wC06tV2EeRBk1OfUhg
6,UCKtxF3ufOkuJohTeKyNbYrQ,UC_SI1j1d8vJo_rYMV5o_dRg
7,UCKtxF3ufOkuJohTeKyNbYrQ,UCAgUtfJ1QlGgB92TKmxHerg
8,UCKtxF3ufOkuJohTeKyNbYrQ,UCqly9F4Fr_jf2Y1Cy5hacRg
9,UCKtxF3ufOkuJohTeKyNbYrQ,UCkRfArvrzheW2E7b6SVT7vQ
10,UCKtxF3ufOkuJohTeKyNbYrQ,UC5o9D6reOSG2QoWhw4ZWS4w
11,UCKtxF3ufOkuJohTeKyNbYrQ,UCYnZpAB3yXJxRIJk9JoWW6Q
12,UCKtxF3ufOkuJohTeKyNbYrQ,UCTeVjS8J3N1qsxFoetjaM4Q
13,UCKtxF3ufOkuJohTeKyNbYrQ,UCWSPqhLRvqjC-vLYA5_n4LQ
14,UCKtxF3ufOkuJohTeKyNbYrQ,UC-cXutYzvqARF5wNKx1KCNA
15,UCKtxF3ufOkuJohTeKyNbYrQ,UC7umTzIrIJq8Xh428lj0M5A
16,UCKtxF3ufOkuJohTeKyNbYrQ,UCJZVj2iBrdvbNc416i0V-UA
17,UCKtxF3ufOkuJohTeKyNbYrQ,UC3sTnr-iJhQKmw9XSW23b8g
18,UCKtxF3ufOkuJohTeKyNbYrQ,UCtsGKowrX5oz5CIUB2vdH0g
19,UCKtxF3ufOkuJohTeKyNbYrQ,UCkH3CcMfqww9RsZvPRPkAJA
20,UCKtxF3ufOkuJohTeKyNbYrQ,UCXWnW9POrqPuDav-K_rWh0g
21,UCKtxF3ufOkuJohTeKyNbYrQ,UCjfuB5ezcu3WUu8y1pBB4bA
22,UCKtxF3ufOkuJohTeKyNbYrQ,UClfhcLqicImW9Se7NKaFADQ
23,UCWzenZSy9GJBcPzdSm-UX5w,UCC-p7pOxNvWo3Vfu0TeFFhw
24,UCWzenZSy9GJBcPzdSm-UX5w,UCcRj3pRCMea0HoXhPksLn4A
25,UCWzenZSy9GJBcPzdSm-UX5w,UCesbxDsCFpXSYKlpASpFjdQ
26,UCWzenZSy9GJBcPzdSm-UX5w,UCd9BXPj-KcMTh0HiB-Vlb8A
27,UCWzenZSy9GJBcPzdSm-UX5w,UCiC9V-H7PCw4Usnm5T_BN7g
28,UCb-ekPowbBlQhyt7ZXPiu5Q,UCaDx9O6Q7bT-8XRPM0YyxIQ
29,UCJFZiqLMntJufDCHc6bQixg,UCp-5t9SrOQwXMU7iIjQfARg
30,UCJFZiqLMntJufDCHc6bQixg,UC1opHUrw8rvnsadT-iGp7Cg
