,Source,Target
0,UCBzHLiBZWSn7AmaW0AOAlWg,UCEGN4Z0hbYqodLNcgub1agw
1,UCBzHLiBZWSn7AmaW0AOAlWg,UCNvcNd31bA-XERO6LGy4blw
2,UCBzHLiBZWSn7AmaW0AOAlWg,UC_MhwVLPBM4beYmkIF-c3zw
3,UCBzHLiBZWSn7AmaW0AOAlWg,UCMaZZeG_sk3VfpgNt64zjQQ
4,UCBzHLiBZWSn7AmaW0AOAlWg,UCy0wWb2hkv9BwwhuhzKtd9A
5,UCBzHLiBZWSn7AmaW0AOAlWg,UC-JH61Jh7zjzBv_WABOPXvg
6,UCBzHLiBZWSn7AmaW0AOAlWg,UCaak9sggUeIBPOd8iK_BXcQ
7,UCBzHLiBZWSn7AmaW0AOAlWg,UCFBjsYvwX7kWUjQoW7GcJ5A
8,UCBzHLiBZWSn7AmaW0AOAlWg,UCdIWIvdum7neQ9_8ZaWz9yQ
9,UCBzHLiBZWSn7AmaW0AOAlWg,UCNbJVAp9ZmAqAi3pE8_pmKw
10,UCBzHLiBZWSn7AmaW0AOAlWg,UCoG2iDwh5Vw61kZx0kWL0WA
11,UCBzHLiBZWSn7AmaW0AOAlWg,UCmfV_755JPAaXR6DNgkPwuA
12,UCBzHLiBZWSn7AmaW0AOAlWg,UCtDIeCnQQVgRS9V13KyAwFg
13,UCBzHLiBZWSn7AmaW0AOAlWg,UCpsWiBKgHWowM9GoA8oYJCw
14,UCBzHLiBZWSn7AmaW0AOAlWg,UCzYN8SHyxxhmqyMylOSM3hw
15,UCBzHLiBZWSn7AmaW0AOAlWg,UCL4NX3B5v_gYc5XXWSTcpMA
16,UCBzHLiBZWSn7AmaW0AOAlWg,UCLCdKWiUUKPV016JHjVuMsQ
17,UCBzHLiBZWSn7AmaW0AOAlWg,UCnf0vxeJnEdTHVc4AXMUIlA
18,UCBzHLiBZWSn7AmaW0AOAlWg,UCjW3bz1LXwlIiEVf04339YQ
