Source,Target
UCBzHLiBZWSn7AmaW0AOAlWg,UCMaZZeG_sk3VfpgNt64zjQQ
UCBzHLiBZWSn7AmaW0AOAlWg,UCy0wWb2hkv9BwwhuhzKtd9A
UCBzHLiBZWSn7AmaW0AOAlWg,UCaak9sggUeIBPOd8iK_BXcQ
UCBzHLiBZWSn7AmaW0AOAlWg,UCFBjsYvwX7kWUjQoW7GcJ5A
UCBzHLiBZWSn7AmaW0AOAlWg,UCmfV_755JPAaXR6DNgkPwuA
UCBzHLiBZWSn7AmaW0AOAlWg,UCzYN8SHyxxhmqyMylOSM3hw
UCBzHLiBZWSn7AmaW0AOAlWg,UCnf0vxeJnEdTHVc4AXMUIlA
UCBzHLiBZWSn7AmaW0AOAlWg,UCAge71Coca0hnIZ8UQiiEcw
UCBzHLiBZWSn7AmaW0AOAlWg,UCbbdPm3A4N4wDf-gsGzOKuQ
UCBzHLiBZWSn7AmaW0AOAlWg,UC4QadOSsJu54Qs8z99shRiQ
UCBzHLiBZWSn7AmaW0AOAlWg,UCps1bJGPPZuH1_FBfeBnSag
UCBzHLiBZWSn7AmaW0AOAlWg,UCoLAYd3nQ9KPwoUiQXul18g
UCBzHLiBZWSn7AmaW0AOAlWg,UCljYHFazflmGaDr5Lo90KmA
UCBzHLiBZWSn7AmaW0AOAlWg,UC6XdFs8T6Ei54O0FYl3PVVA
UCBzHLiBZWSn7AmaW0AOAlWg,UCEojdIMF62_65_iYQsvF50Q
UCBzHLiBZWSn7AmaW0AOAlWg,UClWCfrjyjNvHrpjHCr2Ub0Q
UCBzHLiBZWSn7AmaW0AOAlWg,UCiMq2YMvF47o7K4FIZxkjFw
UCBzHLiBZWSn7AmaW0AOAlWg,UCW6uQ8tQ0r8UY5ghbLOJ3qg
UCBzHLiBZWSn7AmaW0AOAlWg,UCzOHCa6-FxSeO4wWUL6smLw
UCBzHLiBZWSn7AmaW0AOAlWg,UCOIib687CvPbspbVsXimX6Q
UCBzHLiBZWSn7AmaW0AOAlWg,UCA7eKOm-KmE8Z6VmZkEKlbg
UCBzHLiBZWSn7AmaW0AOAlWg,UCW01sMEVYQdhcvkrhbxdBpw
UCBzHLiBZWSn7AmaW0AOAlWg,UC1-4AnMxkLXLNL3-7UJ4KTQ
UCBzHLiBZWSn7AmaW0AOAlWg,UCbVQGCsMcqC3q7OtX8iXy9Q
UCBzHLiBZWSn7AmaW0AOAlWg,UCmpuIDDF9WL_w-MXYyZRzFg
UCBzHLiBZWSn7AmaW0AOAlWg,UCTNUzGFfCdUldW6SL_3fAVA
UCBzHLiBZWSn7AmaW0AOAlWg,UCvtRJQXVQPMBFLqhUR5J-7A
UCBzHLiBZWSn7AmaW0AOAlWg,UCS17iKEInkBuHkxtEcCnTTQ
UCBzHLiBZWSn7AmaW0AOAlWg,UCsp1sGkVSXm3UiB3HedXHjA
UCBzHLiBZWSn7AmaW0AOAlWg,UCdP8IaqW90fxLzq54TLmxCw
UCBzHLiBZWSn7AmaW0AOAlWg,UCutJqz56653xV2wwSvut_hQ
UCBzHLiBZWSn7AmaW0AOAlWg,UCL6JY2DXJNDOIqCP1CRADng
UCBzHLiBZWSn7AmaW0AOAlWg,UC9zY_E8mcAo_Oq772LEZq8Q
UCBzHLiBZWSn7AmaW0AOAlWg,UCzZT_CQBlwHCb125VvDN-hw
UCBzHLiBZWSn7AmaW0AOAlWg,UCMlwQuZJJQppHO6-FkGgiqQ
UCBzHLiBZWSn7AmaW0AOAlWg,UC2p9pSIMYa-asF6C38039gQ
UCBzHLiBZWSn7AmaW0AOAlWg,UChiZabFUXEDVSz_5NdWVhDQ
UCBzHLiBZWSn7AmaW0AOAlWg,UCwtmy0aIOeb1N0hxZ1a6RWA
UCBzHLiBZWSn7AmaW0AOAlWg,UCIR2mQ77wHrLMreV45nYhgw
UCBzHLiBZWSn7AmaW0AOAlWg,UCgMPP6RRjktV7krOfyUewqw
UCBzHLiBZWSn7AmaW0AOAlWg,UC-km1012mEUQQLGxggmrazw
UCBzHLiBZWSn7AmaW0AOAlWg,UCmMFrO9hjeAg9RLuTSF4A2A
UCBzHLiBZWSn7AmaW0AOAlWg,UCnMomb_sGrZgBtFNvG7Zgnw
UCBzHLiBZWSn7AmaW0AOAlWg,UCrXUsMBcfTVqwAS7DKg9C0Q
UCBzHLiBZWSn7AmaW0AOAlWg,UC-9-kyTW8ZkZNDHQJ6FgpwQ
UCBzHLiBZWSn7AmaW0AOAlWg,UCw2lRr9C-KTpoNlYK-oH93g
UCBzHLiBZWSn7AmaW0AOAlWg,UCMOjl6Vmocn9cXXhkLZoskg
UCBzHLiBZWSn7AmaW0AOAlWg,UC41-Om_oyruC2E7-ff7GkrA
UCBzHLiBZWSn7AmaW0AOAlWg,UC2GuoutVyegg6PUK88lLpjw
UCBzHLiBZWSn7AmaW0AOAlWg,UCq1FEiGmyh-52yYGeOMTVLA
UCBzHLiBZWSn7AmaW0AOAlWg,UCVPz_nauEJpqPxxvYiOpCHQ
UCBzHLiBZWSn7AmaW0AOAlWg,UCk8HTeS7wRRam6nEKZkH1eA
UCBzHLiBZWSn7AmaW0AOAlWg,UCY_qQE1SSMciTm6qG4pgkfg
UCBzHLiBZWSn7AmaW0AOAlWg,UC49IcjbsspFVpukiVYN05Hg
UCBzHLiBZWSn7AmaW0AOAlWg,UC7Gpp9AXsyBns4oPt0rd82A
UCBzHLiBZWSn7AmaW0AOAlWg,UCcp9uRaBwInxl_SZqGRksDA
UCBzHLiBZWSn7AmaW0AOAlWg,UCRT-74ovdMKOFBC96w_gfyQ
UCBzHLiBZWSn7AmaW0AOAlWg,UCQBG3PzyQKY8ieMG2gDAyOQ
UC52GIWmRR2t3YqtGrKJeZkQ,UCCKlp1JI9Yg3-cUjKPdD3mw
UC52GIWmRR2t3YqtGrKJeZkQ,UCg0m_Ah8P_MQbnn77-vYnYw
UC52GIWmRR2t3YqtGrKJeZkQ,UCwjZLzqHYImv4oCJQcZ8Hig
UC52GIWmRR2t3YqtGrKJeZkQ,UCs2zOG_RpVt6yOSHTfWKEXw
UCQGVzUNv0UTn-t0Xzd06E4Q,UCs2zOG_RpVt6yOSHTfWKEXw
UCgdGSLl0gPf-OgHXKuWkTuw,UCqf_rFCGLODeUcw3p_Abr-A
UCgdGSLl0gPf-OgHXKuWkTuw,UCkov8IM_YFpoFzQzc3BbwIg
UCgdGSLl0gPf-OgHXKuWkTuw,UC2zXd5Kq9Hu-_bwO1H7CD0g
UCcegcJA0ijqaZUUyvGtr5xQ,UCaak9sggUeIBPOd8iK_BXcQ
UCcegcJA0ijqaZUUyvGtr5xQ,UCzYN8SHyxxhmqyMylOSM3hw
UCcegcJA0ijqaZUUyvGtr5xQ,UCFo4kqllbcQ4nV83WCyraiw
UCcegcJA0ijqaZUUyvGtr5xQ,UC3Ag_RYMHDYbAV0UKYRtzZQ
UCcegcJA0ijqaZUUyvGtr5xQ,UCFdBehO71GQaIom4WfVeGSw
UCcegcJA0ijqaZUUyvGtr5xQ,UCzTeeF5DIjaXWLgPrRQVvww
UCcegcJA0ijqaZUUyvGtr5xQ,UCoC47do520os_4DBMEFGg4A
UCcegcJA0ijqaZUUyvGtr5xQ,UCdYR5Oyz8Q4g0ZmB4PkTD7g
UCcegcJA0ijqaZUUyvGtr5xQ,UCA7eKOm-KmE8Z6VmZkEKlbg
UCcegcJA0ijqaZUUyvGtr5xQ,UCRxAgfYexGLlu1WHGIMUDqw
UCcegcJA0ijqaZUUyvGtr5xQ,UCtinbF-Q-fVthA0qrFQTgXQ
UCcegcJA0ijqaZUUyvGtr5xQ,UCduDJ6s3mMchYMy2HvqalxQ
UCcegcJA0ijqaZUUyvGtr5xQ,UCvZHxmeCJ0BzkHN1BStKWIw
UCcegcJA0ijqaZUUyvGtr5xQ,UCLqCmbd6bgcLaBVz3aA-68A
UCcegcJA0ijqaZUUyvGtr5xQ,UCqzebzc9N19X3MVFnuFYtRw
UCcegcJA0ijqaZUUyvGtr5xQ,UChhrfk3ZYVkeNbkbyS4-puA
UCcegcJA0ijqaZUUyvGtr5xQ,UC-kl8i6lq_ObZAn4kTL2WHA
UCcegcJA0ijqaZUUyvGtr5xQ,UCZYNMKwoJ22LgDWenKT-JYg
UCcegcJA0ijqaZUUyvGtr5xQ,UCXjTiSGclQLVVU83GVrRM4w
UCcegcJA0ijqaZUUyvGtr5xQ,UCBPUB40ZDXefMctxqwudihQ
UCcegcJA0ijqaZUUyvGtr5xQ,UCDJ_L7aJsijdUKXQgy7GXhA
UCcegcJA0ijqaZUUyvGtr5xQ,UCcp9uRaBwInxl_SZqGRksDA
UCcegcJA0ijqaZUUyvGtr5xQ,UCQBG3PzyQKY8ieMG2gDAyOQ
UCNfcdefRTSfKsKUTlU-dMGg,UCKUlE6-Ezy7CIe7PfKmIM5Q
UC6vzXCyUFiz0wMF6aIe7Isg,UCMlwQuZJJQppHO6-FkGgiqQ
UCW01sMEVYQdhcvkrhbxdBpw,UCaak9sggUeIBPOd8iK_BXcQ
UCW01sMEVYQdhcvkrhbxdBpw,UCMo5MECD5pwhUVLaMqZo5Xg
UCW01sMEVYQdhcvkrhbxdBpw,UCPkjL7jAJhrZ3e4-NlsGt-Q
UCW01sMEVYQdhcvkrhbxdBpw,UCiMq2YMvF47o7K4FIZxkjFw
UCW01sMEVYQdhcvkrhbxdBpw,UCFTVNLC7ysej-sD5lkLqNGA
UCW01sMEVYQdhcvkrhbxdBpw,UCzZT_CQBlwHCb125VvDN-hw
UCW01sMEVYQdhcvkrhbxdBpw,UCpOjLndjOqMoffA-fr8cbKA
UCW01sMEVYQdhcvkrhbxdBpw,UCrXUsMBcfTVqwAS7DKg9C0Q
UCW01sMEVYQdhcvkrhbxdBpw,UCI5pX--ky1-KE8xu5ybTq2Q
UCW01sMEVYQdhcvkrhbxdBpw,UC-oB1viuwdIH8dkss87KSYw
UC44I8yg9JJa2xIp-OpzpmnA,UC5uDVXCTLx1RUgWItSTb57A
UC44I8yg9JJa2xIp-OpzpmnA,UCBzHLiBZWSn7AmaW0AOAlWg
UC44I8yg9JJa2xIp-OpzpmnA,UCFo4kqllbcQ4nV83WCyraiw
UC44I8yg9JJa2xIp-OpzpmnA,UCgm5JFYUWqVTQKH15D8eqFg
UC44I8yg9JJa2xIp-OpzpmnA,UC4QadOSsJu54Qs8z99shRiQ
UC44I8yg9JJa2xIp-OpzpmnA,UCIADYlvF7cSppCuQKU29VSw
UC44I8yg9JJa2xIp-OpzpmnA,UCCy_q-N7F2FOIZ6ZggHIAKg
UC44I8yg9JJa2xIp-OpzpmnA,UCNsidkYpIAQ4QaufptQBPHQ
UC44I8yg9JJa2xIp-OpzpmnA,UCFofPRcCkYSBLbkMVpaUfrw
UC44I8yg9JJa2xIp-OpzpmnA,UCD7-Ocp4InwPKzwiq_U-Abg
UC44I8yg9JJa2xIp-OpzpmnA,UCmpuIDDF9WL_w-MXYyZRzFg
UC44I8yg9JJa2xIp-OpzpmnA,UC4lN5sizuJraSHqy99xTy6Q
UC44I8yg9JJa2xIp-OpzpmnA,UCTNUzGFfCdUldW6SL_3fAVA
UC44I8yg9JJa2xIp-OpzpmnA,UC642pLj4GXSj-0Ybdx3ytmA
UC44I8yg9JJa2xIp-OpzpmnA,UCewKW8SfYqnAZAXeghk9IvA
UC44I8yg9JJa2xIp-OpzpmnA,UCrPCzN6HOfK7FY2NJmKBeWg
UC44I8yg9JJa2xIp-OpzpmnA,UCcp9uRaBwInxl_SZqGRksDA
UC44I8yg9JJa2xIp-OpzpmnA,UCRT-74ovdMKOFBC96w_gfyQ
UCjVWC1qMPlB6KoeZ6GT5LTg,UCmhcXVo826mAd_bs8O6NMSg
UCjVWC1qMPlB6KoeZ6GT5LTg,UCf46lEtDC6ESG53uT9lC_hA
UCjVWC1qMPlB6KoeZ6GT5LTg,UCdoeLBvPRcuv2axTdrdJFWQ
UCjVWC1qMPlB6KoeZ6GT5LTg,UCF1t1Qna87oJhCRBVubPWOQ
UCjVWC1qMPlB6KoeZ6GT5LTg,UCY5IdyC_L0WQmascZYB_Fow
UCjVWC1qMPlB6KoeZ6GT5LTg,UCXr4OBPAkBfkvh_TUR8TWTw
UCjVWC1qMPlB6KoeZ6GT5LTg,UCQKQY9_XoSj0KtfQM-ZLzLQ
UCjVWC1qMPlB6KoeZ6GT5LTg,UCdLvNAwMjVF0LQPi-WUwR7g
UCjVWC1qMPlB6KoeZ6GT5LTg,UCWbB8rGkcOc58YYS0QaCG3w
UCjVWC1qMPlB6KoeZ6GT5LTg,UC9TZkdXMVzeVcQq1zmSjUHQ
UCjVWC1qMPlB6KoeZ6GT5LTg,UC29EtFeN1oKf0HrSlar8wzw
UCjVWC1qMPlB6KoeZ6GT5LTg,UC_dylCNlywDT7OHohc1hQrQ
UCjVWC1qMPlB6KoeZ6GT5LTg,UC4-nB4TnNJxSnDBhh8S2FUw
UCjVWC1qMPlB6KoeZ6GT5LTg,UC0Sap2UMCWU1I4qqZcBffNA
UCjVWC1qMPlB6KoeZ6GT5LTg,UCXT83OSWojUxDFPAGesUmnA
UCjVWC1qMPlB6KoeZ6GT5LTg,UC1EWquZDm53poYx9ymae87A
UCjVWC1qMPlB6KoeZ6GT5LTg,UCQWnm9wy7cqTB57BBdd_wYQ
UCjVWC1qMPlB6KoeZ6GT5LTg,UCJ7oytE1wCG8YXhbIgT54Jg
UCjVWC1qMPlB6KoeZ6GT5LTg,UCFcppblo2pK6ahP_15b5wqg
UCjVWC1qMPlB6KoeZ6GT5LTg,UCGYeJ3kuHqvdFLZDIikiYIQ
UCjVWC1qMPlB6KoeZ6GT5LTg,UCAqeNxn8FoDt-nO-32zdizQ
UCjVWC1qMPlB6KoeZ6GT5LTg,UCCzV-Qh18Bx0sozER-UMtVw
UCjVWC1qMPlB6KoeZ6GT5LTg,UCJ9KgnlnZdjjCPaqUGa12rQ
UCjVWC1qMPlB6KoeZ6GT5LTg,UCzYN8SHyxxhmqyMylOSM3hw
UCjVWC1qMPlB6KoeZ6GT5LTg,UCTfta7Ult6yLu7ru-WInOGg
UCjVWC1qMPlB6KoeZ6GT5LTg,UCLxCY5G3Mc0SENd6yXsNrAA
UCjVWC1qMPlB6KoeZ6GT5LTg,UCDwfwhDvdjaAZz7iRuPURUQ
UCjVWC1qMPlB6KoeZ6GT5LTg,UCvoIiV3o4rFKlls7Ju3mJQA
UCjVWC1qMPlB6KoeZ6GT5LTg,UCwGNqfa5uJGQ2QskATr_IVw
UCjVWC1qMPlB6KoeZ6GT5LTg,UCTihuy_rf0o-34yBqOKKnoQ
UCjVWC1qMPlB6KoeZ6GT5LTg,UCbX0JCiaGan28CytNR9jUig
UCjVWC1qMPlB6KoeZ6GT5LTg,UCfxhuZX9bfJM6k2qfE-kpwQ
UCjVWC1qMPlB6KoeZ6GT5LTg,UCaU5DB-ctGvNiNHRmG905Mw
UCjVWC1qMPlB6KoeZ6GT5LTg,UCfI76RjxffQJfXSVDzsQI8w
UCjVWC1qMPlB6KoeZ6GT5LTg,UCAlc1iLtYC9idjtrtP5cVXg
UCjVWC1qMPlB6KoeZ6GT5LTg,UCchkZw8VZg882CvPF1D_yHQ
UCjVWC1qMPlB6KoeZ6GT5LTg,UCFtXC2qOIAFMv2Jfqq87qTQ
UCjVWC1qMPlB6KoeZ6GT5LTg,UC0BnaTUZV4hNONEqfDMA9rw
UCjVWC1qMPlB6KoeZ6GT5LTg,UCDyLuAcUBQy-wuk7P6U1LCg
UCjVWC1qMPlB6KoeZ6GT5LTg,UC1DwGHpx63aza-pTz67cb-g
UCjVWC1qMPlB6KoeZ6GT5LTg,UCvtYjhJG1Z-M3LCzPDURoYQ
UCjVWC1qMPlB6KoeZ6GT5LTg,UCQk7eMLRAxDSXcRAC9urgNQ
UCjVWC1qMPlB6KoeZ6GT5LTg,UC5JlRhPr22AYGNlFg4cTQmQ
UCjVWC1qMPlB6KoeZ6GT5LTg,UCALEI-Z4SSfjY3NdOJHjy8Q
UCjVWC1qMPlB6KoeZ6GT5LTg,UCJ3ONHh8nrhl9rxqQHct45A
UCjVWC1qMPlB6KoeZ6GT5LTg,UCps1bJGPPZuH1_FBfeBnSag
UCjVWC1qMPlB6KoeZ6GT5LTg,UCVIPdcQbuFbY1_DihYMJxGQ
