Id,Label,description,timeset,viewCount,subscriberCount,hiddenSubscriberCount,videoCount
UCNXRALS-Ebds_3ndDK4K56w,僕の料理とキャンプ飯,"料理とキャンプ飯を作っていくチャンネルです。
どちらも素人なのですが楽しく作っていきたいと思います。

興味持って頂けたらチャンネル登録
よろしくお願いします(^_-)-☆

チャンネル登録はこちら➡https://goo.gl/VwSjLg

沢山のコメントもよろしくお願いします！",2018-01-02T02:07:42Z,28938,1230,False,22
UC9HewHptBB5f7p7NoEWRRjw,日本アムウェイ合同会社,"アムウェイの公式Youtubeサイトです。本チャンネルは日本アムウェイ合同会社が運営しています。
アムウェイの所有する製品プロモーション、社会貢献活動等の映像情報やイベントの模様をを配信しています。
YouTubeアカウント（ googleアカウント ）をお持ちの方はぜひ 『 チャンネル登録 』 をクリックしてください。",2011-04-27T08:12:10Z,2713019,40000,False,189
UCJpGwLuVYK9-IGkjl8u5E2A,桃乃花【氷室京介と結婚したい女】,"✤✤✤ 氷室京介と結婚したい女✤✤✤

桃乃花（momonohana）です。
1971.11.15 生まれのアラフィフ女子です。

14歳の頃に、BOØWYの氷室さんと出会って
「氷室さんと結婚するため、芸能界に入る！！！」と
行動を起こした少女がいました。

約35年の年月を経て、YouTubeのアラフィフ女子
「桃乃花」として再び「氷室さん愛」を
CHから発信したいと思います！！

BOØWY＆氷室京介ファンの皆様と
楽しい時間を共有出来たら嬉しく思います。


◆◇◆サウンドクリエイターとして活動しています◆◇◆
日本最大級のBGM・効果音ストック販売サービス
Audiostock 　【桃乃花で検索してください】
https://audiostock.jp/artists/49536

◇◆◇音楽ユニット活動もしています◇◆◇
【桃商】MO MO I RO SHOU TEN GAI 
2019．5.7「嗚呼、虜。2019」で配信デビュー
https://www.youtube.com/channel/UCG9wysKChkAsU4wRQubYJxA
",2016-02-25T03:07:29Z,658331,0,True,770
UCDJ_L7aJsijdUKXQgy7GXhA,へんな魚おじさんの寝言【Weird Fish Dude & Beard Brother】,"愛知県南知多 豊浜漁港の「さかな広場」にて働いている
通称""へんな魚おじさん""と""ヒゲの兄貴""です！！

きまぐれクックのかねこさんのチャンネルで
度々登場しておりましたが、ついにチャンネルができました！！

へんな魚はもちろん、いろんな魚を紹介して
皆さんに魚の美味しさを伝えられるように頑張ります！！


☆Twitter ➡︎ https://twitter.com/_Sakana_Ojisan
お魚クイズや豊浜魚ひろばの情報を発信しています！

☆Instagram ➡︎ https://www.instagram.com/_sakana_ojisan/?hl=ja
魚ひろばにお越しいただいた方との記念写真を載せています！

☆ヒゲの兄貴のTwitter ➡︎ https://twitter.com/marukan_aichi?s=17
へんな魚おじさんよりも更新頻度が高く、さかな広場の情報も豊富です！
さかな広場にお越しになる前に必ずチェックしてください！

☆セカンドチャンネル⬇︎へんな魚おじさんのひとり言
https://www.youtube.com/channel/UCVGyr3a4vK39eQVxWoq70fg

☆へんな魚おじさんのLINEスタンプ発売中!!
https://store.line.me/stickershop/product/10778677

☆プレゼント、お手紙などの宛先はこちら
(※生物、冷蔵便は受け取りができません)
〒150-0031
東京都渋谷区桜丘町20-1
渋谷インフォスタワー17階
「株式会社Kiii へんな魚おじさん&ヒゲの兄貴」宛

☆お仕事・取材等のご依頼はこちらまで！
hensakaojisan@gmail.com",2019-02-15T10:07:02Z,78812383,530000,False,219
UCLxCY5G3Mc0SENd6yXsNrAA,誠チャンネル,国内🚙海外✈️ の旅動画  や  商品レビューを中心に配信,2016-10-08T01:05:15Z,213947,2660,False,41
UCFo4kqllbcQ4nV83WCyraiw,中田敦彦のYouTube大学 - NAKATA UNIVERSITY,中田敦彦が「教育系YouTuber」として、学べる動画を毎週４本更新（火・水・土・日）。もっと学びたい人はウェブコミュニティ「PROGRESS」へ。入会はコチラ https://www.nakataatsuhiko.com/fanclub-salon,2018-02-06T10:34:49Z,564395587,3350000,False,531
UCPlreGCqby4Qg9Vuem5scpw,バイリンガール英会話 | Bilingirl Chika,"メッセージ用フォームは下部のリンクからアクセスできます！

=============================

初めまして！バイリンガールのちかです♪
小学校1年生の時、父親の仕事の関係で渡米し、
大学を卒業するまでの16年間をシアトルで過ごしました。

2007年に日本に帰国し、大手コンサルティング会社に入社。
グローバルなビジネス環境にも関わらず、英語に苦手意識を抱いている日本人が多いことに気付き、
2011年に自分に何かできないかとYouTubeで英会話チャンネルを開始。

部屋からパジャマ姿でレッスンをしたり、
旅行先でビデオブログを作ったり、
衣装を着て踊ったり（最近は、苦手な歌にも挑戦w）！
友達感覚で気軽に英語に触れていただける動画を心がけています☆ 

日本を英語で発信する『ジャパナゴス』というチャンネルも是非チェックしてみてください♪ 
初詣、節分、ひな祭り等、日本人に馴染みのあるテーマを英語で説明しているため、
上級者の方にリスニングコンテンツとしてご活用頂いております。

お仕事のお問い合わせはこちら↓
吉田正樹事務所
info@yoshidamasaki.com
http://www.yoshidamasaki.com/member/post1169/",2009-12-31T01:14:10Z,404372972,1520000,False,920
UCps1bJGPPZuH1_FBfeBnSag,【速水もこみち 公式チャンネル】M’s TABLE by Mocomichi Hayami,"速水もこみちです！M's TABLE by Mocomichi Hayamiへようこそ！
簡単なものから手の込んだものまで様々なジャンルのレシピをご紹介します！
他にも、いろんな動画も配信していきますので、ぜひ楽しんでください！

●Instagram
https://www.instagram.com/mocomichi_hayami/

●Twitter
https://twitter.com/hayami_m_staff

●公式キッチンブランドサイト
http://www.mocomichihayami.jp/

#MsTABLE by #速水もこみち

問い合わせ：mstable.contact@gmail.com

ーーーーーーーーーーーーーーーーーー

Welcome to M’s TABLE by Mocomichi Hayami !
I will post my original food recipes. 
Enjoy my superb cuisine.

●Instagram
https://www.instagram.com/mocomichi_hayami/

●Twitter
https://twitter.com/hayami_m_staff

● OFFICIAL KITCHEN BRAND SITE produced by Mocomichi Hayami
http://www.mocomichihayami.jp/

Contact：mstable.contact@gmail.com",2019-07-17T08:45:48Z,26439292,385000,False,213
UCL6JY2DXJNDOIqCP1CRADng,エガちゃんねる EGA-CHANNEL,"お笑い芸人、江頭2:50がYouTubeを始めます。
「YouTubeでやりたいこと全部やってやる！おもしろいこと全部やってやる！」
世界のEGA目指して江頭2:50、頑張ります。

Egashira2:50 is a BADASS SAMURAI !!!
Please  Subscribe !!!

サブチャンネル「エガチャンネル〜替えのパンツ〜」
https://www.youtube.com/channel/UCU607BfClX724VqZZ9zWWcA


※江頭2:50は特別な修行を積んでいるため、
　このチャンネルの動画のマネをする時は自己責任でお願いします。

【お問い合わせ先について】
※エガちゃんねるへのご依頼・ご相談はこちら
　info@bampeiyu.com

※江頭２：５０への仕事のご依頼・ご相談はこちら
　info@bampeiyu-mgmt.com
",2020-01-31T06:44:47.456277Z,175804836,2270000,False,127
UCmV-bbmjWF4XzublsXRjxiQ,たかまつななチャンネル,"ニュースを身近に

時事YouTuberのたかまつななです。

お笑いジャーナリストとして
社会風刺ネタをしたり
現地に取材に行ったりしています。

チャンネル登録者数5万人目指して頑張っています。
ぜひ登録してください。",2014-11-11T04:09:41Z,18622664,97100,False,668
