,Source,Target
0,UCbFwe3COkDrbNsbMyGNCsDg,UCArUdy5xj0i0cTuhPHRVMpw
1,UCbFwe3COkDrbNsbMyGNCsDg,UC4YaOt1yT-ZeyB0OmxHgolA
2,UC2ZVDmnoZAOdLt7kI7Uaqog,UCWq6L3iY4hGK4LmylvQtj-g
3,UC2ZVDmnoZAOdLt7kI7Uaqog,UCCebk1_w5oiMUTRxdNJq0sA
4,UC2ZVDmnoZAOdLt7kI7Uaqog,UC5Oe-wG53cRHkpV3aHXfLUQ
5,UC2ZVDmnoZAOdLt7kI7Uaqog,UCjhb6SKya3hvowPr1gtwfPw
6,UC2ZVDmnoZAOdLt7kI7Uaqog,UCvi7XDiewenqdMvamLJNMGg
7,UC2ZVDmnoZAOdLt7kI7Uaqog,UChMPicpTxVNAMOmz7fQEVpA
8,UC2ZVDmnoZAOdLt7kI7Uaqog,UCBX00PjvFhTVnnDAR848O3A
9,UC2ZVDmnoZAOdLt7kI7Uaqog,UC5Xse6X7vB_nUL5HvEFVo_g
10,UC2ZVDmnoZAOdLt7kI7Uaqog,UCuAkSIfWmGJ1Mw8BtB_iZzA
11,UCumOEkOWBFy5ShLv3fR2rJg,UCpoDpVFhUGHPWVYqmJ8TBwA
12,UCumOEkOWBFy5ShLv3fR2rJg,UCDPFIRDYR3hOVQGK50btVIQ
13,UCumOEkOWBFy5ShLv3fR2rJg,UCxW-QSLee1mEUSM4faoHd_A
14,UCumOEkOWBFy5ShLv3fR2rJg,UCPO8jdYHpyUnmSGV3lADwcw
15,UCumOEkOWBFy5ShLv3fR2rJg,UC1H5dv45x2aFKk-6JZLSWIQ
16,UCumOEkOWBFy5ShLv3fR2rJg,UCxbY38ReXW3LbaviWUE4omg
17,UCumOEkOWBFy5ShLv3fR2rJg,UCu0lW58jcjGRfkGTWt6GE1w
18,UCumOEkOWBFy5ShLv3fR2rJg,UCDn8Lqf-x0zD8hmFUg08f6w
19,UCumOEkOWBFy5ShLv3fR2rJg,UCHH9fKCeU3axdNwIljCBmcg
20,UCumOEkOWBFy5ShLv3fR2rJg,UCANr15MC0s7bi4cxtDd1Gtg
21,UCumOEkOWBFy5ShLv3fR2rJg,UC8pMBOI9vXf6fIM670vdIPw
22,UCumOEkOWBFy5ShLv3fR2rJg,UCv_jreWfYg70AcUQHrdJwNQ
23,UCumOEkOWBFy5ShLv3fR2rJg,UCcAGc7BqTIyEjeXZM6QhGiQ
24,UCumOEkOWBFy5ShLv3fR2rJg,UCL6JY2DXJNDOIqCP1CRADng
25,UCumOEkOWBFy5ShLv3fR2rJg,UCFuugQScqDfJcsOEWbL1_tg
26,UCumOEkOWBFy5ShLv3fR2rJg,UC_I9CVRiAASHgkVoXOaGYNw
27,UCumOEkOWBFy5ShLv3fR2rJg,UCtmXnwe5EYXUc52pq-S2RAg
28,UCumOEkOWBFy5ShLv3fR2rJg,UCpGpA7mSYmNJjLiJxKso5QA
29,UCumOEkOWBFy5ShLv3fR2rJg,UCZMRuagdTBKmmrFtSMN48Xw
30,UCumOEkOWBFy5ShLv3fR2rJg,UC5kX0Q716-pmfFIXxtM5nug
31,UCumOEkOWBFy5ShLv3fR2rJg,UCQ78z42ZYZHLlCiDrUiZoiw
32,UCumOEkOWBFy5ShLv3fR2rJg,UCijQAbzX7gBPSEeMrSoBKBA
33,UCumOEkOWBFy5ShLv3fR2rJg,UCF1__pdREwcJgYLZcrRn_7A
34,UC5aRsy3YqpRXXGSu5tu201w,UC2cUv37rl_2Bvryvvf2kuGg
35,UC5aRsy3YqpRXXGSu5tu201w,UCcz5rf_ahtJ3iqquzFjqCnA
36,UC5aRsy3YqpRXXGSu5tu201w,UCtpjB9KzKX4r7EIjvIeaRoA
37,UC5aRsy3YqpRXXGSu5tu201w,UCi4iBF8p1oU8SMgNv-m0m_g
38,UC5aRsy3YqpRXXGSu5tu201w,UCnDqnuoqrVgQDWjWpWVetOQ
39,UC5aRsy3YqpRXXGSu5tu201w,UCuXZxY1sKZAHwIm7OS_h3Gw
40,UC5aRsy3YqpRXXGSu5tu201w,UCehFLzqLRDbiMUr5w9-CqOQ
41,UC5aRsy3YqpRXXGSu5tu201w,UC_Y1VN98taKJW5XG97ju5aw
42,UC5aRsy3YqpRXXGSu5tu201w,UCER7C4vAxzQjr0COrfATRHA
43,UC5aRsy3YqpRXXGSu5tu201w,UC_nWgm8fT08I6OiJdgnf62w
44,UC5aRsy3YqpRXXGSu5tu201w,UCtqtBumc5DN78QBHcavg9Eg
45,UC5aRsy3YqpRXXGSu5tu201w,UCvHUmys9fkyenpUo4Wlh2aA
46,UC5aRsy3YqpRXXGSu5tu201w,UC1L7V-GfXeH8JYnujH2rGKw
47,UC5aRsy3YqpRXXGSu5tu201w,UCS2XXo65F5cqEfpb3IUTs0w
48,UC5aRsy3YqpRXXGSu5tu201w,UCQJ5SRgXMzbaFnkZ2dtsKow
49,UC5aRsy3YqpRXXGSu5tu201w,UCNW2ZoMhg4XvMn7jM87B6iw
50,UC5aRsy3YqpRXXGSu5tu201w,UCUhoPuzCxpF_dR0GyjGqgEQ
51,UC5aRsy3YqpRXXGSu5tu201w,UCxmQ2jd7V9A0bMuU0bpWM1A
52,UC5aRsy3YqpRXXGSu5tu201w,UCQEz3LCPWjudWUYNQUsCNYw
53,UC5aRsy3YqpRXXGSu5tu201w,UCGnbR7v1jSQU0va4s0inQhg
54,UC5aRsy3YqpRXXGSu5tu201w,UC5yDZulIh82-zxhouR9aqSA
55,UC5aRsy3YqpRXXGSu5tu201w,UCC0tFcznoma7yI0ca0iqisw
56,UC5aRsy3YqpRXXGSu5tu201w,UC6ITy9YZA3vcc8s8R4u3Jwg
57,UC5aRsy3YqpRXXGSu5tu201w,UC6NdKm4pFhPz3VYC_dQnw-g
58,UC5aRsy3YqpRXXGSu5tu201w,UCKq6h5dlsatkwZRm-6o3Udg
59,UC5aRsy3YqpRXXGSu5tu201w,UCqe_FtuDBjqzG_SJdgpy-zw
60,UC5aRsy3YqpRXXGSu5tu201w,UC_yzEOg-2uv6l3saFe0-SOQ
61,UC5aRsy3YqpRXXGSu5tu201w,UCCnRkS4PfKzpbaU0P2GiNWQ
62,UC5aRsy3YqpRXXGSu5tu201w,UCHYhX570R9B4SgfavqwHEnA
63,UC5aRsy3YqpRXXGSu5tu201w,UCx46DugkyakuUtuhHzAmrcQ
64,UC5aRsy3YqpRXXGSu5tu201w,UCpNluuCVgkH8VlUOfDjEuqg
65,UC5aRsy3YqpRXXGSu5tu201w,UCPGTmauL0iwZCFb5-OUT0og
66,UC5aRsy3YqpRXXGSu5tu201w,UCgCodcfKzz8uDEq1SiYwEmQ
67,UC5aRsy3YqpRXXGSu5tu201w,UCR-hvzuvAVIYGNvKq0l5pdQ
68,UC5aRsy3YqpRXXGSu5tu201w,UCkDuaqQxw3k7Aa816kngUYg
69,UC5aRsy3YqpRXXGSu5tu201w,UCkxaQ_vs_bw08Yh23yxdINg
70,UC5aRsy3YqpRXXGSu5tu201w,UCrKJ4Fz8fm1bR4N_P_SGhhQ
71,UC5aRsy3YqpRXXGSu5tu201w,UCxE2Xp-vUf92kXF300P4Xgw
72,UC5aRsy3YqpRXXGSu5tu201w,UCJZyQtiw6MCd98r2pQSoBaA
73,UC5aRsy3YqpRXXGSu5tu201w,UCtQ_-uQ8YCHV2AKwwBsyu6w
74,UC5aRsy3YqpRXXGSu5tu201w,UCg04_Vxz-RvYTZVTiyCkGlw
