Source,Target
UCbFwe3COkDrbNsbMyGNCsDg,UC4YaOt1yT-ZeyB0OmxHgolA
UC2ZVDmnoZAOdLt7kI7Uaqog,UCCebk1_w5oiMUTRxdNJq0sA
UCumOEkOWBFy5ShLv3fR2rJg,UCDPFIRDYR3hOVQGK50btVIQ
UCumOEkOWBFy5ShLv3fR2rJg,UC1H5dv45x2aFKk-6JZLSWIQ
UCumOEkOWBFy5ShLv3fR2rJg,UCxbY38ReXW3LbaviWUE4omg
UCumOEkOWBFy5ShLv3fR2rJg,UCu0lW58jcjGRfkGTWt6GE1w
UCumOEkOWBFy5ShLv3fR2rJg,UCDn8Lqf-x0zD8hmFUg08f6w
UCumOEkOWBFy5ShLv3fR2rJg,UCANr15MC0s7bi4cxtDd1Gtg
UCumOEkOWBFy5ShLv3fR2rJg,UC8pMBOI9vXf6fIM670vdIPw
UCumOEkOWBFy5ShLv3fR2rJg,UCcAGc7BqTIyEjeXZM6QhGiQ
UCumOEkOWBFy5ShLv3fR2rJg,UCL6JY2DXJNDOIqCP1CRADng
UCumOEkOWBFy5ShLv3fR2rJg,UCtmXnwe5EYXUc52pq-S2RAg
UCumOEkOWBFy5ShLv3fR2rJg,UCpGpA7mSYmNJjLiJxKso5QA
UCumOEkOWBFy5ShLv3fR2rJg,UCZMRuagdTBKmmrFtSMN48Xw
UCumOEkOWBFy5ShLv3fR2rJg,UCQ78z42ZYZHLlCiDrUiZoiw
UC5aRsy3YqpRXXGSu5tu201w,UC_nWgm8fT08I6OiJdgnf62w
UC5aRsy3YqpRXXGSu5tu201w,UCkDuaqQxw3k7Aa816kngUYg
UC5aRsy3YqpRXXGSu5tu201w,UCChlflGXLgOSVQ2CetqsyCA
UCKRxSVu3yZPqL5jGfKydQLg,UClX3YSREJp3ELuv2wFAYOzA
UCKRxSVu3yZPqL5jGfKydQLg,UCXlurN679Hgl2UxJAX493QA
UCKRxSVu3yZPqL5jGfKydQLg,UCFBjsYvwX7kWUjQoW7GcJ5A
UCKRxSVu3yZPqL5jGfKydQLg,UC2j4lymo8Ce_1RXMeo4afcQ
UCKRxSVu3yZPqL5jGfKydQLg,UCTcU6mI-ucdFKdYDBekRMTQ
UCKRxSVu3yZPqL5jGfKydQLg,UCHyYUv384bv9eMOC1UoG9PQ
UCKRxSVu3yZPqL5jGfKydQLg,UCSmIO01FO8IxQo-6yL63BzA
UCKRxSVu3yZPqL5jGfKydQLg,UCTfta7Ult6yLu7ru-WInOGg
UCKRxSVu3yZPqL5jGfKydQLg,UCoPJt6v9tBSTVRE7e_JUjQg
UCKRxSVu3yZPqL5jGfKydQLg,UCBe8b4GRwN-rirmuqtRz7Vw
UCKRxSVu3yZPqL5jGfKydQLg,UCBnFEiB9v4afsg8tbhmIACQ
UCKRxSVu3yZPqL5jGfKydQLg,UC6MlluylILbTelNRAvofO1w
UCKRxSVu3yZPqL5jGfKydQLg,UCGjV4bsC43On-YuiLZcfL0w
UCKRxSVu3yZPqL5jGfKydQLg,UCgOfjIl0I_oG7VxIoaKaRsw
UCKRxSVu3yZPqL5jGfKydQLg,UChJt0KDnRLsFYcujrAa0XtQ
UCKRxSVu3yZPqL5jGfKydQLg,UCg_m2ahbG9grCTh05T9kRog
UCKRxSVu3yZPqL5jGfKydQLg,UC9WJo5ZJVXMZiA5XV2jLx5Q
UCKRxSVu3yZPqL5jGfKydQLg,UCx1nAvtVDIsaGmCMSe8ofsQ
UCKRxSVu3yZPqL5jGfKydQLg,UCOUrPUI25HGfCTImQwXBBHg
UCKRxSVu3yZPqL5jGfKydQLg,UCX1xppLvuj03ubLio8jslyA
UCKRxSVu3yZPqL5jGfKydQLg,UC1H5dv45x2aFKk-6JZLSWIQ
UCKRxSVu3yZPqL5jGfKydQLg,UCW6uQ8tQ0r8UY5ghbLOJ3qg
UCKRxSVu3yZPqL5jGfKydQLg,UCukWXw-8lAbzR7OmcT4jVuQ
UCKRxSVu3yZPqL5jGfKydQLg,UC7_YxT-KID8kRbqZo7MyscQ
