Source,Target
UCumOEkOWBFy5ShLv3fR2rJg,UCQ78z42ZYZHLlCiDrUiZoiw
UCcaSyHHCrZFGi8_vRNiZmYg,UCKRxSVu3yZPqL5jGfKydQLg
UCC4cyiIPkxYzkrdcM859f8Q,UCumOEkOWBFy5ShLv3fR2rJg
UCQ78z42ZYZHLlCiDrUiZoiw,UCumOEkOWBFy5ShLv3fR2rJg
UCOSS4X0PBaADVJpeBbP82tg,UCQ78z42ZYZHLlCiDrUiZoiw
UCP4KYVqOEQ2RA1vF4yAaJjg,UCmprma8X9nvdeuU3W9zpzew
UC2dnjpL3v91YupWj7XMfi7g,UCxpJmXttlB2QuWSEMXsfVgA
UC2dnjpL3v91YupWj7XMfi7g,UCNHUtLt_18O-srgCgoNMO2w
UCUzV3h6Eju_JLl9MM-wkQSg,UCOuA0mhjcmnyCtPZbA9eBoQ
UCUzV3h6Eju_JLl9MM-wkQSg,UCmprma8X9nvdeuU3W9zpzew
UCh9wa4Inb_SgFjsRynBEa3g,UCbFwe3COkDrbNsbMyGNCsDg
UCh9wa4Inb_SgFjsRynBEa3g,UCN0V8Q4xQE2gdztwYtI5fwg
UCfcmDFJt8-9XyDNvu2o-a2A,UCq7u_vcSuFoNBFiaPx9gVxw
UC-F48R1WkTXfLdIxxkG_Bgw,UCq7u_vcSuFoNBFiaPx9gVxw
UCEggpWWnCTAmbQnq5h0NOVQ,UCgE11zy8-6KUT-knQTfoPuA
UCOuA0mhjcmnyCtPZbA9eBoQ,UCUzV3h6Eju_JLl9MM-wkQSg
UCOuA0mhjcmnyCtPZbA9eBoQ,UCxpJmXttlB2QuWSEMXsfVgA
UCOuA0mhjcmnyCtPZbA9eBoQ,UCN0V8Q4xQE2gdztwYtI5fwg
UCOuA0mhjcmnyCtPZbA9eBoQ,UCmprma8X9nvdeuU3W9zpzew
UCOuA0mhjcmnyCtPZbA9eBoQ,UCNHUtLt_18O-srgCgoNMO2w
UCmprma8X9nvdeuU3W9zpzew,UCOuA0mhjcmnyCtPZbA9eBoQ
UCmprma8X9nvdeuU3W9zpzew,UCUzV3h6Eju_JLl9MM-wkQSg
UC8Y-mO-XZEKkM_fcrP9cnZw,UCbFwe3COkDrbNsbMyGNCsDg
UC4gtmad4aAGqDaMvGslCa6g,UCbFwe3COkDrbNsbMyGNCsDg
UC4gtmad4aAGqDaMvGslCa6g,UCKRxSVu3yZPqL5jGfKydQLg
UC4gtmad4aAGqDaMvGslCa6g,UCgE11zy8-6KUT-knQTfoPuA
