Id,Label,description,publishedAt,viewCount,subscriberCount,hiddenSubscriberCount,videoCount
UC4R8DWoMoI7CAwX8_LjQHig,Live,"YouTube Live - Watch great live streams, such as live gaming, live music, live sports, and live news.",2015-01-13T20:05:03Z,0,13200000,False,0
UCq87gEKGdiKFQ-ImZnQEmFQ,アベル & アテネ,"----------------------------

▼投稿予定
　…
----------------------------

▼現在投稿中のシリーズ
◇MOD & 配布ワールド

----------------------------",2014-12-19T11:48:48Z,442059876,571000,False,905
UC3vg17IZ1IV73xx069jG44w,Official髭男dism,"「Official髭男dism」（オフィシャルヒゲダンディズム）

2012 年 結成、愛称は「ヒゲダン」。 
このバンド名には髭の似合う歳になっても、誰もがワクワクす るような音楽をこのメンバーでずっと続けて行きたいという意思が込められている。 
2015年4月1stミニアルバム「ラブとピースは君の中」をリリースし、デビュー。
2018年4月Major 1st Single「ノーダウト」でメジャーデビューを果たした。
ブラックミュージックをはじめ、様々なジャンルをルーツとした音楽で全世代から支持を集め続けている。",2012-07-08T07:30:23Z,1084546890,2230000,False,67
UCgZ-s-gbvln0VChhCo_2hqA,Shinjiさんの翻訳動画,"ただの通りすがりの暗黒騎士ガイアです。
主に英語圏の人がプレイするラチェット&クランクのゲーム実況を翻訳してます。（2019/10/13 現在）

To Translate English video contents into Japanese. I run this YouTube channel alone.

お仕事の案件は下記のメールアドレスまでください。
当チャンネルの視聴者様とマッチしそうな案件のみ受注させて頂いております。
sw.shinji0102@gmail.com
編集の依頼も有償で受け付けてます。
大変申し訳ないことに、メールに気付かない事あります。
重要な要件でしたら再度送っていただけると幸いです。",2016-01-26T09:27:09Z,146499101,291000,False,325
UCANAGvMwJW8cpYH-OXE2Ryg,sasuke,"動画の編集がめんどくさいので生放送ばかりしてます。
いつかはチャンネル登録者100万人になったらいいなって思ってます。",2012-08-21T08:42:02Z,225358972,0,True,1725
UC69qQN-4Ghv9VbjO5CwzvHA,あの方/KすTV,"極度のアニオタでアニメ漫画大好きのラーメンをこよなく愛する不摂生の中年男
とある漫画家の弟でもあるけど僕には何も誇れるものがない
そんな「あの方/KすTV」御覧ください。

2014/06/27
チャンネル開設
細々とゲームやパチ実戦動画を上げてました
2018/02/08
改めて編集技術を学び
今までの動画を削除して新たにカス中のカスKすとしてパチ・スロ実戦動画と競馬予想動画をUP
2018/06/02
身長164cm 87.1kgからダイエット企画開始（週に1日だけ大量に食べる日を設ける）
2018/06/26
「カス中のカスKす」から「カス中のカス/KすTV」へチャンネル名変更
2018/07/12
福島東北ラーメン街道開始
2018/09/17
サブチャンネル、あの方/KずTV
https://www.youtube.com/channel/UCebtwGSty0LuZ4CwZ6z5_Ag
を開設本格始動させ、こちらをギャンブル専用のチャンネルとして開設
2018/09/24
「カス中のカス/KすTV」から「あの方/KすTV」にチャンネル名変更",2014-06-27T16:07:00Z,353944,1600,False,265
UC9LV_DxTD1PrETUetoBYsDg,こたば,"どーも、こたばです。


Q,今日は何部ですか？何時までやりますか？　　
A,予定は未定です。


🍙こたばTwitter
https://twitter.com/kotabachan
フォローお待ちしてます♪
---------------
🍙メンバー(スポンサー)機能追加しました!
名前の横に限定バッジ! 限定スタンプが使えます♪
https://www.youtube.com/channel/UC9LV_DxTD1PrETUetoBYsDg/join
↑上記URLから進みメンバーになるで登録できます。
よろしければサポートお願いします!!
ーーーーーーー
🍙ほしいものリスト
https://www.amazon.co.jp/gp/registry/wishlist/TO3BUOQ84FOC/ref=nav_wishlist_lists_1

ーーーーー
【こたLIVEのお約束】
※主が求めない限りネタバレ、アドバイス厳禁でお願いします。
※トラブル防止のため、チャット内でのフレンド交換や部屋募集、
　また他の配信者様の名だし、宣伝行為はご遠慮下さい。
※チャット欄でリスナー様同士のライブと関係のないコミュニケーションはお控え下さい。

※只今PSフレンドの募集はしておりません。
　PSのメッセージは基本お返事できませんのでご了承くださいませ。

　

色んなゲームをほぼ毎日配信中（＾ω＾）
アクション、RPG、シミュレーション、格ゲー、レース、FPS,TPS系、ホラー系、マイクラなど配信!
たくさんのコメントお待ちしております^^よろしくお願いします♪",2015-06-07T05:11:53Z,33493294,93000,False,1328
UCL6JY2DXJNDOIqCP1CRADng,エガちゃんねる EGA-CHANNEL,"お笑い芸人、江頭2:50がYouTubeを始めます。
「YouTubeでやりたいこと全部やってやる！おもしろいこと全部やってやる！」
世界のEGA目指して江頭2:50、頑張ります。

Egashira2:50 is a BADASS SAMURAI !!!
Please  Subscribe !!!

サブチャンネル「エガチャンネル〜替えのパンツ〜」
https://www.youtube.com/channel/UCU607BfClX724VqZZ9zWWcA


※江頭2:50は特別な修行を積んでいるため、
　このチャンネルの動画のマネをする時は自己責任でお願いします。

【お問い合わせ先について】
※エガちゃんねるへのご依頼・ご相談はこちら
　info@bampeiyu.com

※江頭２：５０への仕事のご依頼・ご相談はこちら
　info@bampeiyu-mgmt.com
",2020-01-31T06:44:47.456277Z,175749824,2270000,False,127
UCxZ0BkYadR-0LtmkrHcFOvQ,せろりんね,"＼Welcome to my channel!!／

やぁ、せろりんねと申す！関東住みの23歳女です。


2017.03.15　動画投稿開始
03.29　チャンネル誤BAN　⇒ 一日で復活
04.25　登録者数1000人突破!
05.06　5000人突破!
05.08   10000人突破!

ありがとうございます!

※せろりんねは、amazon.co.jpを宣伝しリンクすることによってサイトが紹介料を獲得できる手段を提供することを目的に設定されたアフィリエイト宣伝プログラムである、Amazonアソシエイト・プログラムの参加者です。",2016-01-07T14:59:09Z,40303313,246000,False,199
UCaghC0OZwAdidMrbvxkcrPg,PlayStation Japan,"ソニー・インタラクティブエンタテインメントジャパンがお届けする、PlayStation® 公式チャンネルへようこそ！

最新のタイトルのプロモーションムービーはもちろん、『プレイステーション』がもっと楽しくなるあらゆる動画をご覧いただけます。",2010-07-22T13:18:40Z,388028173,619000,False,3911
