,Source,Target
0,UCupvZG-5ko_eiXAupbDfxWw,UCgPClNr5VSYC3syrDUIlzLw
1,UCupvZG-5ko_eiXAupbDfxWw,UCi7GJNg51C3jgmYTUwqoUXA
2,UCupvZG-5ko_eiXAupbDfxWw,UC1DZpQ2DDExws9Zvl7UcSkg
3,UCupvZG-5ko_eiXAupbDfxWw,UCY0YIply-je0EhSWLgpftVw
4,UCupvZG-5ko_eiXAupbDfxWw,UC7eaRqtonpyiYw0Pns0Au_g
5,UCupvZG-5ko_eiXAupbDfxWw,UCRrW0ddrbFnJCbyZqHHv4KQ
6,UCupvZG-5ko_eiXAupbDfxWw,UCyAN55vvo8odHHg7QY1pf5w
7,UCupvZG-5ko_eiXAupbDfxWw,UCarEovlrD9QY-fy-Z6apIDQ
8,UCupvZG-5ko_eiXAupbDfxWw,UCF93huicBH0WApJjUmrCxzg
9,UCupvZG-5ko_eiXAupbDfxWw,UCe-4xQosMQGkIA8mT4sR98Q
10,UCupvZG-5ko_eiXAupbDfxWw,UCqnbDFdCpuN8CMEg0VuEBqA
11,UCupvZG-5ko_eiXAupbDfxWw,UCYfdidRxbB8Qhf0Nx7ioOYw
12,UCupvZG-5ko_eiXAupbDfxWw,UCSzicr3l7bERqWvkbS5FRLw
13,UCupvZG-5ko_eiXAupbDfxWw,UCgCudMsK-kxYxB2RgiS3bzQ
14,UCupvZG-5ko_eiXAupbDfxWw,UCajXeitgFL-rb5-gXI-aG8Q
15,UCupvZG-5ko_eiXAupbDfxWw,UCovKb3Mf_h3bsY9gEWoR-bg
16,UCBi2mrWuNuyYy4gbM6fU18Q,UCArZhtifgQgRV3GJtxuj9AA
17,UCBi2mrWuNuyYy4gbM6fU18Q,UCa6vGFO9ty8v5KZJXQxdhaw
18,UCBi2mrWuNuyYy4gbM6fU18Q,UCvC4D8onUfXzvjTOM-dBfEA
19,UCBi2mrWuNuyYy4gbM6fU18Q,UCE5mQnNl8Q4H2qcv4ikaXeA
20,UCBi2mrWuNuyYy4gbM6fU18Q,UCBpmDJ7mNqvKQ1BtRgY8H7w
21,UCBi2mrWuNuyYy4gbM6fU18Q,UCwdo8-3UrfZ9scHPl0m4Ysg
22,UCBi2mrWuNuyYy4gbM6fU18Q,UCXKjhxsfFQUqlNVQzLVnpEA
23,UCBi2mrWuNuyYy4gbM6fU18Q,UCH1oRy1dINbMVp3UFWrKP0w
24,UCBi2mrWuNuyYy4gbM6fU18Q,UCiWLfSweyRNmLpgEHekhoAg
25,UCBi2mrWuNuyYy4gbM6fU18Q,UClzUG0aO3lL5bCa3VYxEiLA
26,UCBi2mrWuNuyYy4gbM6fU18Q,UC_IpSl6O_-IRAA6fiNs05Gg
27,UCBi2mrWuNuyYy4gbM6fU18Q,UCllAjuXse-39SCH-WK8KGEQ
28,UCBi2mrWuNuyYy4gbM6fU18Q,UCIuM3uLyOWfR3qABu5pf-IA
29,UCGCZAYq5Xxojl_tSXcVJhiQ,UCS8ZQejq2CL-nZcnRWZCA5Q
30,UCGCZAYq5Xxojl_tSXcVJhiQ,UCPW-5qfYGNR8XYrvESrqJKA
31,UCGCZAYq5Xxojl_tSXcVJhiQ,UCyXGONo9wlGzU7Yq-nWMM_A
32,UCGCZAYq5Xxojl_tSXcVJhiQ,UCkRfArvrzheW2E7b6SVT7vQ
33,UCGCZAYq5Xxojl_tSXcVJhiQ,UCWnOKASPkCBEL-_O8odMvtg
34,UCGCZAYq5Xxojl_tSXcVJhiQ,UCKIglIH9_xIK0feahuKhJEQ
35,UCGCZAYq5Xxojl_tSXcVJhiQ,UCvF5vIejmf-H_XSluaBldfg
36,UCGCZAYq5Xxojl_tSXcVJhiQ,UCLsdm7nCJCVTWSid7G_f0Pg
37,UCGCZAYq5Xxojl_tSXcVJhiQ,UCRnFGOp_mjaCYEhMzsE2iHA
38,UCGCZAYq5Xxojl_tSXcVJhiQ,UCYfdidRxbB8Qhf0Nx7ioOYw
39,UCGCZAYq5Xxojl_tSXcVJhiQ,UCrEU0b3lpZyrFh7VImwWkxA
40,UCGCZAYq5Xxojl_tSXcVJhiQ,UCSWOnDD1KIriGmyQ7SgNA4A
41,UCeY0bbntWzzVIaj2z3QigXg,UCaXkIU1QidjPwiAYu6GcHjg
42,UCeY0bbntWzzVIaj2z3QigXg,UCccjdJEay2hpb5scz61zY6Q
43,UCeY0bbntWzzVIaj2z3QigXg,UClhOpBxMR6P_qaVDC-PWcEg
44,UCeY0bbntWzzVIaj2z3QigXg,UCvJJ_dzjViJCoLf5uKUTwoA
45,UCeY0bbntWzzVIaj2z3QigXg,UChDKyKQ59fYz3JO2fl0Z6sg
46,UCeY0bbntWzzVIaj2z3QigXg,UCq0OueAsdxH6b8nyAspwViw
47,UCeY0bbntWzzVIaj2z3QigXg,UCxIsefyl9g9A5SGWA4FvGIA
48,UCNsidkYpIAQ4QaufptQBPHQ,UCbTLJi8lXWIt_d1AtRv4Nmw
49,UCNsidkYpIAQ4QaufptQBPHQ,UCbeeV3t-Mp8Kc9IfVutV2Gg
50,UCNsidkYpIAQ4QaufptQBPHQ,UCkRfArvrzheW2E7b6SVT7vQ
51,UCNsidkYpIAQ4QaufptQBPHQ,UCKyXyJMijwyBebgI9wmzFcw
52,UCNsidkYpIAQ4QaufptQBPHQ,UCXIen52JAy3pttIX60JO0YA
53,UCNsidkYpIAQ4QaufptQBPHQ,UCeStiKXaKzeD86Eb2yuB9Gg
54,UCNsidkYpIAQ4QaufptQBPHQ,UCVUyX8T-vYwJYraM6957r9Q
55,UCNsidkYpIAQ4QaufptQBPHQ,UCajQ4ZQJrgwSxkF6xaCfrRw
56,UCNsidkYpIAQ4QaufptQBPHQ,UCGCZAYq5Xxojl_tSXcVJhiQ
57,UCNsidkYpIAQ4QaufptQBPHQ,UCgdHxnHSXvcAi4PaMIY1Ltg
58,UCNsidkYpIAQ4QaufptQBPHQ,UCzrw4K7D9Ti3FP8WMTVPImg
59,UCoQBJMzcwmXrRSHBFAlTsIw,UCPdGW3HUuZOXlyDbdqZVt8A
60,UCoQBJMzcwmXrRSHBFAlTsIw,UCLm2cIUXbh336lGOBeZvB6w
61,UCoQBJMzcwmXrRSHBFAlTsIw,UCw14eNQAUDqCg-fX3Uvd07w
62,UCoQBJMzcwmXrRSHBFAlTsIw,UC4wpY8jmg-n4W-UddQBr1Ag
63,UCoQBJMzcwmXrRSHBFAlTsIw,UCmXfKCasdSTe9B49-Es9XZA
64,UCoQBJMzcwmXrRSHBFAlTsIw,UCgJsBXU5ofuzI3ysVtIBvIw
65,UCoQBJMzcwmXrRSHBFAlTsIw,UCdom4haeZZued1-wocdpgyA
66,UCoQBJMzcwmXrRSHBFAlTsIw,UCpQs_warGhUzJhBdwLfF34g
67,UCoQBJMzcwmXrRSHBFAlTsIw,UC7UzAjbjzvekhio8uEJXCpw
68,UCoQBJMzcwmXrRSHBFAlTsIw,UCbscuGVoILLewd22RFnHpOw
69,UCoQBJMzcwmXrRSHBFAlTsIw,UCBJbV6hW2sfcA2ugwKFBmxw
70,UCoQBJMzcwmXrRSHBFAlTsIw,UCkRfArvrzheW2E7b6SVT7vQ
