,Source,Target
0,UCF2Kl5aL-_vcwaNhUf7YqbA,UCUP80c-0l24KTb6BqSklDfQ
1,UCF2Kl5aL-_vcwaNhUf7YqbA,UC_KdsprQrFTu--hmbX5acBA
2,UCF2Kl5aL-_vcwaNhUf7YqbA,UC2NbbLhV_oaqemc5ZpGd9GQ
3,UCF2Kl5aL-_vcwaNhUf7YqbA,UCtcDXHE0vePdhv_j69WyiOg
4,UCF2Kl5aL-_vcwaNhUf7YqbA,UCmGDDIY4Q3x7mh8kgRShXRQ
5,UCF2Kl5aL-_vcwaNhUf7YqbA,UCL8KT_pH_E8dy1r2T1CqpKw
6,UCF2Kl5aL-_vcwaNhUf7YqbA,UC9FcI0xFjHIsJmdeoAH8Ttg
7,UCF2Kl5aL-_vcwaNhUf7YqbA,UCphTq6mefx_15CjD35qgXgA
8,UCF2Kl5aL-_vcwaNhUf7YqbA,UCj3K2Xy0nQr3Jdc0nd-8zQw
9,UCF2Kl5aL-_vcwaNhUf7YqbA,UCC4JpHyLcMq34ex9_Q_dj5A
10,UCXjTiSGclQLVVU83GVrRM4w,UC5LSthoQNtosvV-5408Mniw
11,UCXjTiSGclQLVVU83GVrRM4w,UCoG2iDwh5Vw61kZx0kWL0WA
12,UCXjTiSGclQLVVU83GVrRM4w,UC0e6zo8oX6ISSBjPaSZsjeA
13,UCXjTiSGclQLVVU83GVrRM4w,UCEg88AZlpA0bXocYYfRG17Q
14,UCXjTiSGclQLVVU83GVrRM4w,UCFo4kqllbcQ4nV83WCyraiw
15,UCXjTiSGclQLVVU83GVrRM4w,UCwywumWHI4_hQtZpJwsC8cw
16,UCXjTiSGclQLVVU83GVrRM4w,UCxS4vbIvtjHQcEW61J2KQIw
17,UCXjTiSGclQLVVU83GVrRM4w,UC3mm_8VUTwXyHXFkGV_GbYA
18,UCXjTiSGclQLVVU83GVrRM4w,UCh1K2JtxIZLnUaTPlxPPzjw
19,UCXjTiSGclQLVVU83GVrRM4w,UCyh0_4lhCrz7eJrCLJEqm3g
20,UCXjTiSGclQLVVU83GVrRM4w,UCCECYaH3b3tpF3icjNKDPhA
21,UCXjTiSGclQLVVU83GVrRM4w,UC0FFHRF1mytLDhs6nxqGIQg
22,UCXjTiSGclQLVVU83GVrRM4w,UCxqoT-HSpNZeIZaT5dgHXaQ
23,UCXjTiSGclQLVVU83GVrRM4w,UCdaR5dKsHWu8mQtznhDj7uw
24,UCXjTiSGclQLVVU83GVrRM4w,UC3vg17IZ1IV73xx069jG44w
25,UCXjTiSGclQLVVU83GVrRM4w,UCZf__ehlCEBPop-_sldpBUQ
26,UCXjTiSGclQLVVU83GVrRM4w,UCXcjvt8cOfwtcqaMeE7-hqA
27,UCXjTiSGclQLVVU83GVrRM4w,UC_N4Vk8Rb1ulGMdT411hx9A
28,UCXjTiSGclQLVVU83GVrRM4w,UCFTVNLC7ysej-sD5lkLqNGA
29,UCXjTiSGclQLVVU83GVrRM4w,UCvGtYXSNqdp5FwLk420ri6w
30,UCXjTiSGclQLVVU83GVrRM4w,UCjuoVrRs5xaXvwI14_VcBKg
31,UCXjTiSGclQLVVU83GVrRM4w,UCW7CCLaJMRyTB8y_YjAAUcQ
32,UCXjTiSGclQLVVU83GVrRM4w,UC5xAkS4828lDivq8cKFGSyw
33,UCXjTiSGclQLVVU83GVrRM4w,UC1fYrot9lgMstv7vX0BnjnQ
34,UCXjTiSGclQLVVU83GVrRM4w,UCxytO83-QC7lByw-Xv7MyVA
35,UCXjTiSGclQLVVU83GVrRM4w,UCUCeZaZeJbEYAAzvMgrKOPQ
36,UCXjTiSGclQLVVU83GVrRM4w,UC80FWuvIAtY-TRtYuDocfUw
37,UCXjTiSGclQLVVU83GVrRM4w,UC2J4qJ5YiVdZFmxbhrY_H6A
38,UCXjTiSGclQLVVU83GVrRM4w,UCMNHreZZqcT4ZVZN_uQsbxQ
39,UCXjTiSGclQLVVU83GVrRM4w,UClVhzSJtfnLrz15IE3_1KVg
40,UCXjTiSGclQLVVU83GVrRM4w,UCtjRA-7EuBmyWMyty1HZAPQ
41,UCXjTiSGclQLVVU83GVrRM4w,UC2CYmFSuAWjc5w0XWt_W5jA
42,UCXjTiSGclQLVVU83GVrRM4w,UCi89abQwUMkMqi41aFbsHdA
43,UCKPgDittmcqhf0v52rqNzAA,UCvral4FSI9dOOUV-yRloawA
44,UCKPgDittmcqhf0v52rqNzAA,UCNu34YYiqUC1XuA3vBmmBFg
45,UCKPgDittmcqhf0v52rqNzAA,UC59_3U0wC75eS2HLN2yWFCw
46,UCKPgDittmcqhf0v52rqNzAA,UCFjJES6DbGtb2svNTSZnjqA
47,UCKPgDittmcqhf0v52rqNzAA,UCem4eaCUWu-Wzp8ZuLQeFwg
