,Source,Target
0,UCH61VpwvpBYKT5BpGNbMUQw,UCYXVONf1a6mlezO32HHVYBw
1,UCH61VpwvpBYKT5BpGNbMUQw,UCOT0TR3eb6KEk9UFADSN-2w
2,UCH61VpwvpBYKT5BpGNbMUQw,UCb9h8EpBlGHv9Z896fu4yeQ
3,UCH61VpwvpBYKT5BpGNbMUQw,UCWbB8rGkcOc58YYS0QaCG3w
4,UCH61VpwvpBYKT5BpGNbMUQw,UCFBjsYvwX7kWUjQoW7GcJ5A
5,UCH61VpwvpBYKT5BpGNbMUQw,UCoqeB0ZCfCcXNzbgC-gYM0w
6,UCH61VpwvpBYKT5BpGNbMUQw,UCPAm9wx6kWdUeUO9PsYmE2Q
7,UCH61VpwvpBYKT5BpGNbMUQw,UCzbwNXFH7L75ffPd_zXV0Hw
8,UCH61VpwvpBYKT5BpGNbMUQw,UCFo4kqllbcQ4nV83WCyraiw
9,UCH61VpwvpBYKT5BpGNbMUQw,UCoorcrpmcdrB6F7GsBZVX0A
10,UCH61VpwvpBYKT5BpGNbMUQw,UCh6Y9RAtqJSC7AcoFKZK-9w
11,UCH61VpwvpBYKT5BpGNbMUQw,UCM6PlhNx0qMgNQ70qig4WDQ
12,UCH61VpwvpBYKT5BpGNbMUQw,UCbJo0uDZpo-XdlO4xyzdwNA
13,UCH61VpwvpBYKT5BpGNbMUQw,UCwmCN8rXyMrCdqurLkgCl8w
14,UCH61VpwvpBYKT5BpGNbMUQw,UCQ3Kgx1G1NkELoJ8tJ3uelg
15,UCH61VpwvpBYKT5BpGNbMUQw,UCgfBCWk4luXcRLycEqfIxIA
16,UCH61VpwvpBYKT5BpGNbMUQw,UCBUi9Lccwj2_DBaDhqmklDA
17,UCH61VpwvpBYKT5BpGNbMUQw,UCVdjYnmDsyiUcpcryI-k6ZA
18,UCH61VpwvpBYKT5BpGNbMUQw,UCjrL1ugI6xGqQ7VEyV6aRAg
19,UCH61VpwvpBYKT5BpGNbMUQw,UCem4eaCUWu-Wzp8ZuLQeFwg
20,UCH61VpwvpBYKT5BpGNbMUQw,UCyEd6QBSgat5kkC6svyjudA
21,UCH61VpwvpBYKT5BpGNbMUQw,UC9aT5s4VFKwIEpW3slig_5w
