Id,Label,description,publishedAt,viewCount,subscriberCount,hiddenSubscriberCount,videoCount
UCF2Kl5aL-_vcwaNhUf7YqbA,Akichonプログラミング講座,"■2020/9/15 ★宣伝★
2020年9月14日よりオンラインサロンを開設しました。
「楽しいプログラミングサークル」
https://music-book.jp/salon/detail/17
まだコンテンツは少ないですが、色々な学習動画をアップする予定です。
また、メンターとして質問にも答えたいと思います。
オンラインスクールに通うよりお得にしたいと思います。
みんなで交流深めましょう😂

■2020/5/7
ほぼ放置してたのに、登録者数が３万人突破していました。
ありがとうございます！！！ちゃんと、更新しようよ・・・。
そして、３万人突破記念動画を作らければ！！と5月13日に書いてます。

■2019/12/20 ★１万人登録ありがとうございます★
パソコン初心者の方にも解るように、できるだけ丁寧にプログラミングについて解説していきたい！
「プログラムは楽しい」というのを伝えたいと思ってます！！
でも、喋りが下手で、なかなか上手く説明ができないのだけれども。。
とりあえず、まずは気軽に始められるJavaScriptでいろいろ作りながら解説していきます。

現在はJavaScriptの基礎、応用でテトリス・シューティングゲーム・スーパーマリオなんちゃら等を作ってます。
今後はPHPや他の言語を動画にしていきたいと思ってます。

■2019/12/25
電子工作をはじめたので、サブチャンネル作りました！！
https://www.youtube.com/channel/UCXDb0l7u9yOpL-BW9j-dKRQ
プログラミングもするのでハードに興味がある方はこちらも是非見てください！

■Twitter
https://twitter.com/_akichon
あんまり更新情報はツイートしてませんけど、ちょくちょくつまらないこと言います。

■Facebook
https://www.facebook.com/aki2828
こっそりFacebookアカウントを載せておきます。
友達はいませんｗ",2018-11-14T17:05:34Z,1479193,40500,False,132
UC1nVq5-LTEdUVmr5FLfkd7A,税理士YouTuberチャンネル!! / ヒロ税理士,"『税理士YouTuberチャンネル!!』にようこそ！

はじめまして、税理士YouTuberことヒロ☆税理士です。大阪の梅田にて、十数名のメンバーと共に会計事務所を運営しています。

このチャンネルでは、税理士業界に入って20年以上の経験を持つ私が、中小企業の経営者としての立場と、税理士という専門家としての立場の両面から、ビジネスの話やおトク情報、会計や税金、節税策や資金調達の方法、経営に関する有益な情報、中小企業の経営現場でのウラ話等を、出来るだけ専門用語を使わず、わかりやすくどんどん発信していきたいと思います！

いいチャンネルを創り上げていきたいと思いますので、チャンネル登録どうぞ宜しくお願いします！",2017-10-09T18:40:49Z,14014490,183000,False,340
UCTVm7TDCjWrAW_NgLSveq6w,ジェイのUnityゲームプログラミング教室,タイピングとゲームプログラミング講座などを発信していきます！,2014-01-12T02:20:23Z,21933,534,False,100
UCYuVuLCtgrkQ6znA_ShdvXA,たっちゃんねる,"食べて飲むのが好きな独身中年男です。
一人旅が多く、現地の旨い物を食べながら酒を飲むのを至福としています。
よって、旅行に行ってもほとんど観光はなし。
そんな男の飲み食い旅がメインのチャンネルです。
ビール片手に、まったり見て頂けたら幸いです。
動画アップの頻度は少ないですが、よろしくお願いいたします。",2008-10-25T13:22:47Z,98144632,264000,False,251
UCc_h5gKlbqk3GaCCC4sQoyg,キッズ・プログラミング教室,"小学生からシニア世代までプログラミングを全く知らない人でも、ゲームや携帯アプリが作れるようになる教室のチャネル。
Scratch, App Inventor, レゴWeDo 2.0, Makey Makey関連の動画をアップしています。

■キッズ・プログラミング教室のホームページ
http://kidsprogram.co.jp/

■キッズプログラミング教室のScratchスタジオ
https://scratch.mit.edu/studios/3500541/",2017-01-31T01:39:28Z,1655,8,False,6
UCczh4w4k5cjuZBKFqlIF3kw,【下剋上エンジニア】アップスターツSベン,"毎週日曜日の21時に最新動画を配信！

Fラン中退の元クズ人間が一からパソコンを学び、完全独学でエンジニアに。
現在はフリーランスになり月収3.5倍。
独学でエンジニア転職を成功させる秘訣やフリーランスについて配信しています！
本気でためになる動画を作っているので、ぜひ一本でも多く見てもらえたら嬉しいです。",2017-05-14T09:10:23Z,1866338,14200,False,311
UCkRfArvrzheW2E7b6SVT7vQ,YouTube Creators,"Welcome to the YouTube Creators channel! If you’re looking to grow your audience or stay in the know on all things YouTube, you’ve come to the right place. Tune in for official updates, news, and education from YouTube experts and fellow creators. Don’t forget to subscribe and tap the bell!",2013-05-06T21:25:34Z,175994596,3090000,False,428
UCoRxcaATU1N9QdXXgmQLBFQ,ふる,"外資IT→現在フリーランス2年半　
発信内容は全て「超」初心者レベル向けに「内容をかなり絞って」います。
プロフィールは下のブログリンクへどうぞ。

----------------------------
このチャンネルは、Amazon.co.jp を宣伝しリンクすることによってサイトが紹介料を獲得できる手段を提供することを目的に設定されたアフィリエイトプログラムである、Amazonアソシエイト・プログラムの参加者です。",2018-12-26T14:37:14Z,766276,20100,False,72
UCFdBehO71GQaIom4WfVeGSw,メンタリスト DaiGo,"⭕️今なら20日間無料⭕️ 
 【Dラボ】はこちらから→https://daigovideolab.jp/
知識のNetflixを目指して作った動画配信サービス
 ※クレジットカードなくても登録できます。

⭕️今なら1冊無料⭕️
究極のマインドフルネスhttps://amzn.to/3bXMIyH
超健康法 https://amzn.to/35yLfh5
超客観力 https://amzn.to/3itckWD 
超習慣術 https://amzn.to/2yLgJT4
超読書術 https://amzn.to/39AZpfT  
超集中力 https://amzn.to/2w7RpFw  
超選択術 https://amzn.to/346QeTv   
※Audible無料体験にて1冊無料

【免責事項】
このチャンネルは、科学の面白さを伝えることを目的としたエンタメです。
なるべく多くの方に、科学的思考に興味を持ってもらうために、参考資料や過去の動画を元に、大胆な独自の考察したもので、事実を確定するものではなく、あくまで一説です。動画の結論は実際の研究とは異なる場合があります。
僕は文献を読むのが好きなタダの理系であり、専門家ではありません。また、多くの科学者とも同じように人間ですから、間違うことも多々あります。実際に知識を利用する際には自己責任、または然るべき専門家に相談してください。",2013-01-03T14:05:32Z,544813477,2290000,False,2333
UCii2-9NFglWBpTSnYjzTkDA,おとなのためのプログラミング,"プログラミング初心者のためのプログラミング講座です。
シリーズものではないので、1回ずつさくっと勉強することができます。
レベルは都度変わります。
主に勉強していく内容は
・データベースを扱うための　SQL文
・一番初めのプログラム　HTML
・これは結構深い。JavaScript
・個人的に大好き　C#

そのうちやるかもしれない言語
・Java
・Ruby
・Python

また、プログラミング学習への考察や、プログラマの一日などのVlogもアップしてしていきたいと思います。",2017-01-19T23:48:02Z,6289,102,False,12
