,Source,Target
0,UCqmWJJolqAgjIdLqK3zD1QQ,UCHi5HD9w9B-gI6Lbx43Rs7A
1,UCqmWJJolqAgjIdLqK3zD1QQ,UCpp9XVh5Q7ODRE-pl3FCQmA
2,UCqmWJJolqAgjIdLqK3zD1QQ,UCbqtn4vldMg5HjKims7MWfw
3,UCqmWJJolqAgjIdLqK3zD1QQ,UC5ry_Nn-9q-aCO0irGxRRsA
4,UCqmWJJolqAgjIdLqK3zD1QQ,UCNvcNd31bA-XERO6LGy4blw
5,UCqmWJJolqAgjIdLqK3zD1QQ,UC34LwS_QwS9KiGESFdW1b0g
6,UCqmWJJolqAgjIdLqK3zD1QQ,UCiJs55TAqhMfj-H-BA5RwxA
7,UCqmWJJolqAgjIdLqK3zD1QQ,UC_U7pKOVK-0hGr7bDmy2mng
8,UCqmWJJolqAgjIdLqK3zD1QQ,UCNwP0ghb6J-xRSTqM3sXVXA
9,UCqmWJJolqAgjIdLqK3zD1QQ,UC7a-9oGxX5pF-DvRaiY88qg
10,UCqmWJJolqAgjIdLqK3zD1QQ,UCOF2nUSKF2Mz_vZHlxjxRTg
11,UCqmWJJolqAgjIdLqK3zD1QQ,UCDCHc4fuc8VydqyAgU-1ibA
12,UCqmWJJolqAgjIdLqK3zD1QQ,UCgd-vCrzhoQOOBm5rftCEMw
13,UCqmWJJolqAgjIdLqK3zD1QQ,UC910qpzjNM0l5a7OyTskkKw
14,UCqmWJJolqAgjIdLqK3zD1QQ,UC7DdEm33SyaTDtWYGO2CwdA
15,UCqmWJJolqAgjIdLqK3zD1QQ,UCVxovvfWbiRIrNIJIVr6YFg
16,UCqmWJJolqAgjIdLqK3zD1QQ,UC9Sc_3WIpB7r7PEZO4pY-0g
17,UCqmWJJolqAgjIdLqK3zD1QQ,UCZwsiHb_sEd_8yUO59LIMnA
18,UCqmWJJolqAgjIdLqK3zD1QQ,UCnf0vxeJnEdTHVc4AXMUIlA
19,UCqmWJJolqAgjIdLqK3zD1QQ,UC4o9JBgfkUWyq15Q9Dc762g
20,UCqmWJJolqAgjIdLqK3zD1QQ,UCjW3bz1LXwlIiEVf04339YQ
21,UCqmWJJolqAgjIdLqK3zD1QQ,UCFo4kqllbcQ4nV83WCyraiw
22,UCqmWJJolqAgjIdLqK3zD1QQ,UCyck8jJ1yQzy82rLJ5nv8Gg
23,UCqmWJJolqAgjIdLqK3zD1QQ,UCCkJHopuyowBoLLj263VpJA
24,UCqmWJJolqAgjIdLqK3zD1QQ,UCuWdyc0Mp7zRZd6KSPguCsA
25,UCqmWJJolqAgjIdLqK3zD1QQ,UCfRzefzSPkUXKAlpw5JwhVQ
26,UCqmWJJolqAgjIdLqK3zD1QQ,UCrGPz6YlvFnNRx_TlheGjpw
27,UCqmWJJolqAgjIdLqK3zD1QQ,UCE2oXM3JiubhqoTZuOVIGlQ
28,UCqmWJJolqAgjIdLqK3zD1QQ,UCdEpbrlHoqnUGMRy2LICtRw
29,UCqmWJJolqAgjIdLqK3zD1QQ,UCvI7gIjcFD1R1dSE-wJpKQw
30,UCqmWJJolqAgjIdLqK3zD1QQ,UC1B51m7HSWGpm_qDDgoIeqA
31,UCqmWJJolqAgjIdLqK3zD1QQ,UCWVO0OICQ1Q-8JBr_3hGKPw
32,UCqmWJJolqAgjIdLqK3zD1QQ,UC8_0F0bInj6PJr5WW1S1b4Q
33,UCqmWJJolqAgjIdLqK3zD1QQ,UCem4eaCUWu-Wzp8ZuLQeFwg
34,UCqmWJJolqAgjIdLqK3zD1QQ,UC5JNi_lAgJPIMKuCw679QuA
35,UCqmWJJolqAgjIdLqK3zD1QQ,UCkdt6woV69UTpQhi3Sykg_Q
36,UCqmWJJolqAgjIdLqK3zD1QQ,UCxIPzBJ59q3Bv9pNmCYIC_g
37,UCqmWJJolqAgjIdLqK3zD1QQ,UC29mFGKxSkn0lrj03_xyrHg
38,UCqmWJJolqAgjIdLqK3zD1QQ,UCDKrhSz_tkI6ILxamZtcRYw
39,UCqmWJJolqAgjIdLqK3zD1QQ,UC_RdHsuS3k566Gy0mLOqfLg
40,UCqmWJJolqAgjIdLqK3zD1QQ,UCBF7RSsYL2di2jc-RqXIBcA
41,UCqmWJJolqAgjIdLqK3zD1QQ,UCsN0m1lwpEDOcMy4SoLI8Pw
42,UCqmWJJolqAgjIdLqK3zD1QQ,UCCbMBSC2xpSkHilUHYWQvRA
43,UCqmWJJolqAgjIdLqK3zD1QQ,UCT0x6RQTeoZByaYt_k1Ranw
44,UCqmWJJolqAgjIdLqK3zD1QQ,UCXDbYBsrrFfCExOlokabOWw
45,UCqmWJJolqAgjIdLqK3zD1QQ,UCQUSQ9QSSL_pJipT74yo5vQ
46,UCqmWJJolqAgjIdLqK3zD1QQ,UCdDfwt6UtevVHJhg604B7kg
47,UCqmWJJolqAgjIdLqK3zD1QQ,UCt6xxd2go9WccbL5bkLVriA
48,UCqmWJJolqAgjIdLqK3zD1QQ,UCdvci38aZHC_5qKPyL8BPcA
49,UCqmWJJolqAgjIdLqK3zD1QQ,UCTev4RNBiu6lqtx8z1e87fQ
50,UCqmWJJolqAgjIdLqK3zD1QQ,UCEJ9hPjmge0UxpD9QA11MwQ
51,UCqmWJJolqAgjIdLqK3zD1QQ,UCxEhsgkAcwlS1Pn9baBCIqw
52,UCqmWJJolqAgjIdLqK3zD1QQ,UCTvl6hZo2uHPvR48oM6IfdA
53,UCqmWJJolqAgjIdLqK3zD1QQ,UCORW3zZTUVdVwlY5Mnk8q9Q
54,UCqmWJJolqAgjIdLqK3zD1QQ,UCweDD076QB1Y0XD1_W4HpfA
55,UCqmWJJolqAgjIdLqK3zD1QQ,UCZJfPJnc9a3tq9V1HSq3d5w
56,UCqmWJJolqAgjIdLqK3zD1QQ,UCJ9ePFkccCw_HHtdSrfVEpw
57,UCqmWJJolqAgjIdLqK3zD1QQ,UCd_xorYtl-M6coWUkwGV_Lw
58,UCqmWJJolqAgjIdLqK3zD1QQ,UCbtnvqohvEnpn6kVV2C7Xrg
59,UCqmWJJolqAgjIdLqK3zD1QQ,UCJayvjGvKEblkA3KYK1BQQw
60,UCqmWJJolqAgjIdLqK3zD1QQ,UCMFDhI-zeWRzLMCdxFnlw9A
61,UCqmWJJolqAgjIdLqK3zD1QQ,UCdo3Z5oFt04IDMjpjaXN5hw
62,UCqmWJJolqAgjIdLqK3zD1QQ,UCBMqF7mC8QbPcvTDHALDShA
63,UCqmWJJolqAgjIdLqK3zD1QQ,UCv1NhXce8pEWRscUPL4aSTQ
64,UCqmWJJolqAgjIdLqK3zD1QQ,UCMsuwHzQPFMDtHaoR7_HDxg
65,UCqmWJJolqAgjIdLqK3zD1QQ,UCg8At6UL5h_BWLoGKnc86Lw
66,UCqmWJJolqAgjIdLqK3zD1QQ,UCyqMy0D_hLLwVnaVfpYrVfQ
67,UCqmWJJolqAgjIdLqK3zD1QQ,UCC0Q1NBgGJRzFFPe1IPYtwg
68,UCqmWJJolqAgjIdLqK3zD1QQ,UCs7rJz4WvRVd0-PbXKiBi2Q
69,UCqmWJJolqAgjIdLqK3zD1QQ,UC46u5qG6vqDdrNYgqRVvq3Q
70,UCqmWJJolqAgjIdLqK3zD1QQ,UCAwDbZG6UtUAa0s6tfgqQBA
71,UCqmWJJolqAgjIdLqK3zD1QQ,UCt3cjuHrJRLAkmePjfvurmg
72,UCqmWJJolqAgjIdLqK3zD1QQ,UCA5eUNhmpBCbT-IJxBvP5tA
73,UCqmWJJolqAgjIdLqK3zD1QQ,UC9nOza18X8TrLQ0ykMP_g6g
74,UCqmWJJolqAgjIdLqK3zD1QQ,UCDsB5oS-K8To0NAz4iWVNKQ
75,UCqmWJJolqAgjIdLqK3zD1QQ,UC0elp2101KAxbaAMzInGerA
76,UCqmWJJolqAgjIdLqK3zD1QQ,UC7ly4Q6oT3rcdOKQcQVvMgg
77,UCqmWJJolqAgjIdLqK3zD1QQ,UC9JqSO9LR3V6ljBXHv4E7qg
78,UCqmWJJolqAgjIdLqK3zD1QQ,UCZ49V-ApGjlIc_SREUkCtkw
79,UCqmWJJolqAgjIdLqK3zD1QQ,UCYO_jab_esuFRV4b17AJtAw
80,UCqmWJJolqAgjIdLqK3zD1QQ,UConVfxXodg78Tzh5nNu85Ew
81,UCqmWJJolqAgjIdLqK3zD1QQ,UCANr15MC0s7bi4cxtDd1Gtg
82,UCqmWJJolqAgjIdLqK3zD1QQ,UCL4QAojeGy6CJ9R2PwmlmJQ
83,UCqmWJJolqAgjIdLqK3zD1QQ,UCK0IGE1aFxKx-XpG5V917SQ
84,UCqmWJJolqAgjIdLqK3zD1QQ,UCRNYfIK7BV_DCoR7KqdhBhQ
85,UCqmWJJolqAgjIdLqK3zD1QQ,UC8pMBOI9vXf6fIM670vdIPw
86,UCqmWJJolqAgjIdLqK3zD1QQ,UCeyK5ZZiNT30u54F87OUmvA
87,UCqmWJJolqAgjIdLqK3zD1QQ,UC7I3QTra4_kC4TSu8f7rHkA
