Source,Target
UCqmWJJolqAgjIdLqK3zD1QQ,UCFo4kqllbcQ4nV83WCyraiw
UCqmWJJolqAgjIdLqK3zD1QQ,UCrGPz6YlvFnNRx_TlheGjpw
UCqmWJJolqAgjIdLqK3zD1QQ,UCem4eaCUWu-Wzp8ZuLQeFwg
UCqmWJJolqAgjIdLqK3zD1QQ,UCMFDhI-zeWRzLMCdxFnlw9A
UCqmWJJolqAgjIdLqK3zD1QQ,UCMsuwHzQPFMDtHaoR7_HDxg
UCqmWJJolqAgjIdLqK3zD1QQ,UC46u5qG6vqDdrNYgqRVvq3Q
UCqmWJJolqAgjIdLqK3zD1QQ,UCt3cjuHrJRLAkmePjfvurmg
UCqmWJJolqAgjIdLqK3zD1QQ,UC0elp2101KAxbaAMzInGerA
UCqmWJJolqAgjIdLqK3zD1QQ,UC9JqSO9LR3V6ljBXHv4E7qg
UCqmWJJolqAgjIdLqK3zD1QQ,UC8pMBOI9vXf6fIM670vdIPw
UCqmWJJolqAgjIdLqK3zD1QQ,UC7I3QTra4_kC4TSu8f7rHkA
UCqmWJJolqAgjIdLqK3zD1QQ,UC642pLj4GXSj-0Ybdx3ytmA
UCqmWJJolqAgjIdLqK3zD1QQ,UCxZ0BkYadR-0LtmkrHcFOvQ
UCqmWJJolqAgjIdLqK3zD1QQ,UCqD72KlQed6DB-cPEaEYdEg
UCqmWJJolqAgjIdLqK3zD1QQ,UCQ_MqAw18jFTlBB-f8BP7dw
UCqmWJJolqAgjIdLqK3zD1QQ,UCzDd3Byvt91oyf3ggRlTb3A
UCqmWJJolqAgjIdLqK3zD1QQ,UCUnLtMTXZfrSeTJfO-N5NfA
UCqmWJJolqAgjIdLqK3zD1QQ,UCPyNsNSTUtywkekbDdCA_8Q
UCqmWJJolqAgjIdLqK3zD1QQ,UCBOW9JS4366gwX_rFFgZNTw
UCqmWJJolqAgjIdLqK3zD1QQ,UC9Ije5dQVFx9uTGddG_U5XA
UCqmWJJolqAgjIdLqK3zD1QQ,UC3LAEwEhZ0Yn3l4-WatZo2Q
UCqmWJJolqAgjIdLqK3zD1QQ,UCeTCw2JaGIP1W1uva6eSVQg
UCqmWJJolqAgjIdLqK3zD1QQ,UCKxnXboujhwy7osAwu75-2w
UCqmWJJolqAgjIdLqK3zD1QQ,UCXjTiSGclQLVVU83GVrRM4w
UCqmWJJolqAgjIdLqK3zD1QQ,UC2otzOMMLeJHZVwwyAQaA_w
UCqmWJJolqAgjIdLqK3zD1QQ,UC82NEkDVsBe6nAPTgR8yy7w
UCqmWJJolqAgjIdLqK3zD1QQ,UCOjBG3Bu6sDxfGi15SMNF1Q
UCqmWJJolqAgjIdLqK3zD1QQ,UCrkqNT0_Fd5_TIWdjey6K0A
UCqmWJJolqAgjIdLqK3zD1QQ,UCBLvUpsQXGZKAdVeg41WxKg
UCqmWJJolqAgjIdLqK3zD1QQ,UCI5qMix97T3tVZfxmHObDjA
UCxl3AizmA_6YC4lpeycP8kA,UCTMRxtyHoE3LPcrl-kT4AQQ
UCxl3AizmA_6YC4lpeycP8kA,UC_x5XG1OV2P6uZZ5FSM9Ttw
UCxl3AizmA_6YC4lpeycP8kA,UCTnRxVUPssiL7H29ON07t_Q
UCxl3AizmA_6YC4lpeycP8kA,UCYeTM1MRopdvxbILL-rJwjw
UCxl3AizmA_6YC4lpeycP8kA,UCDwLb8FClxNiMa7w6dCO7PQ
UCxl3AizmA_6YC4lpeycP8kA,UCdc_SRhKUlH3grljQXA0skw
UCxl3AizmA_6YC4lpeycP8kA,UCPBJwCY7oo_E-PdQ-QTfyGg
UCxl3AizmA_6YC4lpeycP8kA,UCK8sQmJBp8GCxrOtXWBpyEA
UCxl3AizmA_6YC4lpeycP8kA,UCmFFQ8yiTPpeI4p0ktO8OCQ
UCxl3AizmA_6YC4lpeycP8kA,UCPKlrgZXnnb89nSeITvTdGA
UC8g17oXkRt8buwQL8GU-NSw,UC9WJo5ZJVXMZiA5XV2jLx5Q
UC8g17oXkRt8buwQL8GU-NSw,UCMsuwHzQPFMDtHaoR7_HDxg
UC8g17oXkRt8buwQL8GU-NSw,UC46u5qG6vqDdrNYgqRVvq3Q
UC8g17oXkRt8buwQL8GU-NSw,UC9JqSO9LR3V6ljBXHv4E7qg
UC8g17oXkRt8buwQL8GU-NSw,UCxBR2bnAFAavDHpHtQrTA9Q
UC8g17oXkRt8buwQL8GU-NSw,UCHFvKf-ATrhs3jbjj793N6w
UC8g17oXkRt8buwQL8GU-NSw,UCQ_MqAw18jFTlBB-f8BP7dw
UC8g17oXkRt8buwQL8GU-NSw,UCzDd3Byvt91oyf3ggRlTb3A
UC8g17oXkRt8buwQL8GU-NSw,UCPyNsNSTUtywkekbDdCA_8Q
UC8g17oXkRt8buwQL8GU-NSw,UCBOW9JS4366gwX_rFFgZNTw
UC8g17oXkRt8buwQL8GU-NSw,UCqmWJJolqAgjIdLqK3zD1QQ
UC8g17oXkRt8buwQL8GU-NSw,UC2otzOMMLeJHZVwwyAQaA_w
UC8g17oXkRt8buwQL8GU-NSw,UC82NEkDVsBe6nAPTgR8yy7w
UC8g17oXkRt8buwQL8GU-NSw,UCVPz_nauEJpqPxxvYiOpCHQ
UC8g17oXkRt8buwQL8GU-NSw,UCrkqNT0_Fd5_TIWdjey6K0A
UCCdskievdAtH6AtPeEfTqEg,UCrkqNT0_Fd5_TIWdjey6K0A
UCOMR2-UBjo3JIrlwcIoljcQ,UC_x5XG1OV2P6uZZ5FSM9Ttw
UCOMR2-UBjo3JIrlwcIoljcQ,UCJS9pqu9BzkAMNTmzNMNhvg
UCOMR2-UBjo3JIrlwcIoljcQ,UCxl3AizmA_6YC4lpeycP8kA
UCTnRxVUPssiL7H29ON07t_Q,UC_x5XG1OV2P6uZZ5FSM9Ttw
UCTnRxVUPssiL7H29ON07t_Q,UCGlWnxRgmii2-InQLp8HmiA
