Id,Label,description,publishedAt,viewCount,subscriberCount,hiddenSubscriberCount,videoCount
UCTMRxtyHoE3LPcrl-kT4AQQ,Google Cloud,"Welcome to Google Cloud. Our goal is to help you build, operate and grow your business. Subscribe to stay up to date with the latest in cloud - whether your business is early in its journey or well on its way to digital transformation, we’ll help chart a path to success.

Google Cloud Next ‘20: OnAir is on now through Sept 8! Our once-a-year, must-attend, global experience now online. Connect with others and learn the latest in cloud technology and innovation. Register today for our free multi-week series →  g.co/cloudnext",2018-01-30T21:48:35Z,21810719,92300,False,818
UCVHFbqXqoYvEWM1Ddxl0QDg,Android Developers,"Welcome to the official Android Developers YouTube channel. Get the latest Android news, best practices, live videos, demonstrations, tutorials, and more. Subscribe to receive the latest on Android development.",2007-11-09T18:05:25Z,154035426,929000,False,1341
UCGe9HT1iqay4dNvTVC3694Q,buddaeye,,2009-04-29T01:38:10Z,3676,13,False,3
UCl8E6NsjN979gbMBdztF48g,タケシ弁護士【岡野武志】,"高卒成り上がり弁護士です。

15年前に高卒で司法試験に合格し、未経験で弁護士事務所を開業したら、法律相談の電話が鳴り止まず、日本屈指の弁護士社長になりました。高校卒業後は渡米、10年間の放浪と無職フリーター借金生活の末、現在は限度額なしのアメックス・ブラックカードを保有しています。

【無料相談窓口】
一部の分野で、無料の法律相談を受け付けています。
まずはお電話ください。代金はいただきません。

《全国24時間対応中》
①会社を解雇クビになった　0120-984-406
②交通事故でケガを負った　0120-465-911
③逮捕、警察沙汰になった　0120-476-911
④ネット記事を削除したい　0120-226-911
⑤借金で破産を考えている　0120-145-911

【岡野武志とは】
高卒成り上がり弁護士
高卒で司法試験に合格した日本屈指の弁護士社長

《経歴》
本名：岡野武志
出身：笑いを愛する大阪人
中学：枚方市立東香里中学のサッカー部員
高校：大阪明星高校のハードコアバンド部員
大学：行かず、アメリカNYに2年半の逃避行
無職：18〜28歳の10年間、無職・フリーターで放浪
資格：28歳、高卒で旧司法試験（旧61期）に合格
起業：30歳、弁護士で即独立したら年収1億超え
経営：アトム弁護士法人を全国展開、IT企業を創業経営
現在：43歳、お笑い系社会派ユーチューバーに転身

《保有資格》
士業：弁護士（第二東京弁護士会：登録番号37890）、税理士
学位：Master of Law（LL.M. Programs）修了
英語：TOEIC925点

《成長記録》
2019.06.04 登録
2019.08.22 本編初投稿
2019.09.06 チャンネル登録者数1,000人突破！
2019.10.17 チャンネル登録者数10,000人突破！
0000.00.00 チャンネル登録者数100,000人突破！
0000.00.00 チャンネル登録者数500,000人突破！
0000.00.00 チャンネル登録者数1,000,000人突破！
0000.00.00 チャンネル登録者数3,000,000人突破！
",2019-06-05T05:39:37Z,13298235,81300,False,395
UC6tAXy7UFO_QG0LeD_OKQBQ,Google Developers Japan,Google Developers Japan のチャンネルでは、イベント情報、ベストプラクティス、Tips、Google の製品やプラットフォームの最新のアップデート情報などを発信しています。,2015-11-19T01:41:45Z,76104,2380,False,215
UCYuVuLCtgrkQ6znA_ShdvXA,たっちゃんねる,"食べて飲むのが好きな独身中年男です。
一人旅が多く、現地の旨い物を食べながら酒を飲むのを至福としています。
よって、旅行に行ってもほとんど観光はなし。
そんな男の飲み食い旅がメインのチャンネルです。
ビール片手に、まったり見て頂けたら幸いです。
動画アップの頻度は少ないですが、よろしくお願いいたします。",2008-10-25T13:22:47Z,98016695,264000,False,251
UCrGPz6YlvFnNRx_TlheGjpw,わっきゃい,twitter @wildkumada,2013-04-02T00:28:42Z,67658777,596000,False,56
UCdc_SRhKUlH3grljQXA0skw,Google Korea,구글 코리아 공식 채널입니다.,2007-08-13T01:46:32Z,296108646,75400,False,390
UCF2Kl5aL-_vcwaNhUf7YqbA,Akichonプログラミング講座,"■2020/9/15 ★宣伝★
2020年9月14日よりオンラインサロンを開設しました。
「楽しいプログラミングサークル」
https://music-book.jp/salon/detail/17
まだコンテンツは少ないですが、色々な学習動画をアップする予定です。
また、メンターとして質問にも答えたいと思います。
オンラインスクールに通うよりお得にしたいと思います。
みんなで交流深めましょう😂

■2020/5/7
ほぼ放置してたのに、登録者数が３万人突破していました。
ありがとうございます！！！ちゃんと、更新しようよ・・・。
そして、３万人突破記念動画を作らければ！！と5月13日に書いてます。

■2019/12/20 ★１万人登録ありがとうございます★
パソコン初心者の方にも解るように、できるだけ丁寧にプログラミングについて解説していきたい！
「プログラムは楽しい」というのを伝えたいと思ってます！！
でも、喋りが下手で、なかなか上手く説明ができないのだけれども。。
とりあえず、まずは気軽に始められるJavaScriptでいろいろ作りながら解説していきます。

現在はJavaScriptの基礎、応用でテトリス・シューティングゲーム・スーパーマリオなんちゃら等を作ってます。
今後はPHPや他の言語を動画にしていきたいと思ってます。

■2019/12/25
電子工作をはじめたので、サブチャンネル作りました！！
https://www.youtube.com/channel/UCXDb0l7u9yOpL-BW9j-dKRQ
プログラミングもするのでハードに興味がある方はこちらも是非見てください！

■Twitter
https://twitter.com/_akichon
あんまり更新情報はツイートしてませんけど、ちょくちょくつまらないこと言います。

■Facebook
https://www.facebook.com/aki2828
こっそりFacebookアカウントを載せておきます。
友達はいませんｗ",2018-11-14T17:05:34Z,1476963,40500,False,132
UCXuVk5ADSS6ISY9IuvVo9Ng,akira ugawa,,2012-10-14T10:39:26Z,82259,88,False,482
UC9Ije5dQVFx9uTGddG_U5XA,将棋放浪記【プロ棋士】,"日本将棋連盟 プロ棋士の藤森哲也です。
東京都大田区蒲田の出身で現在３３歳です。

このチャンネルでは将棋を楽しく実況したり
将棋を通じていろいろな人と交流したいと思っています。
１度覚えたら誰とでも楽しめることが出来る
そんな将棋の楽しさや面白さをたくさんの人に伝えていきたいです！
もし良かったらチャンネル登録お願いします！

お仕事・コラボの依頼のお問い合わせはこちら
shogihourouki@gmail.com
",2020-04-26T00:53:26.719216Z,6271920,41000,False,160
UC7kN3QaumX0dsI6aaTEeWxA,高校教師によるプログラミング講座,"高校の教師をしています。
毎年プログラミングの授業を担当していますが、動画のコンテンツがあれば、授業の役に立てると考え動画を作成しました。
プログラミングを勉強したい方のお役に立てると幸いです。よろしくお願いします。",2019-10-07T00:32:07Z,140226,1740,False,35
UCBLvUpsQXGZKAdVeg41WxKg,nimspr,"物質や材料の研究で
世界トップレベルを誇る日本の研究所。
それが、物質・材料研究機構（NIMS）です。
革新的な新物質や、未来を変える新素材が日々生み出されています。
　
このチャンネルは、NIMSが総力を挙げ、物質・材料の世界にワクワクしてもらえる映像をずらり集めました。
　
たった2分で「へぇ～」と思える映像の数々。
ぜひご覧ください。

国立研究開発法人物質・材料研究機構（NIMS）
www.nims.go.jp",2011-12-01T06:31:02Z,23839411,167000,False,118
UCeB9_3IiJbcbOQIAV75nqyA,ツクレル tsukurel,"楽しくモノづくりについて学べます。
技術オタク集団XSHELLがあなたの疑問を解決し最新情報を面白くお届け。
◆プロフィール◆
XSHELLは知的好奇心にあふれる毎日をつくりだすことを目標とした五反田バレーの中心に位置するスタートアップ。
XSHELLがお届けする学びコンテンツが「ツクレル」です。

ツクレル https://camp.isaax.io/

XSHELLという名前は攻殻機動隊(GHOST IN THE SHELL)より発想したものです。
わたしたちはモノに触れながら楽しく学べるコンテンツをお届けする事業をおこなっています。

XSHELL https://xshell.io/

チャンネル登録おねがいします！",2018-08-22T07:33:27Z,34403,811,False,95
UCwmCN8rXyMrCdqurLkgCl8w,押尾コータロー Official YouTube Channel,,2012-04-09T12:58:30Z,3513210,16100,False,24
UCibEhpu5HP45-w7Bq1ZIulw,Fischer's-フィッシャーズ-,"はじめまして！…の前に。
このチャンネルの動画を見て真似をしたり、参考にして怪我をしたなどについて
「フィッシャーズでは一切の責任を負いません」。ご了承ください。

野外で遊んだり室内で遊んだり。海外へ冒険したり。時には恐ろしい場所へ…。
中学三年の頃、「楽しい」を動画にすることから始まった
[シルクロード][ダーマ] [ザカオ] [ぺけたん]  [ンダホ] [モトキ] [マサイ] からなる
古くて幼稚園、同い年７人組の同級生集団、フィッシャーズです。
ファンの総称はカタカナで「ウオタミ」です！

■チャンネルの歴史
2010/02/25 中学校の卒業式の日にフィッシャーズ結成。
2010年内でフィッシャーズの動画をアップロード開始。

2012/08/24 前のチャンネルを削除し、改めて現在のチャンネルを開設。
2013/03/25 チャンネル登録者100人達成！
2013/11/08 チャンネル登録者500人達成！(同時にファンの総称を決定)
2014/04/18 チャンネル登録者1,000人達成！
2014/05/29 合計再生回数が100万回を突破！
2014/07/08 チャンネル登録数10,000人達成！
2015/07/20 UUUMに所属
2015/11/23 チャンネル登録者100,000人達成！
2016/08/12 チャンネル登録者1,000,000人達成！
2018/09/04 チャンネル登録者5,000,000人達成！
2020/08/02 日本初、単独チャンネルで合計視聴回数10,000,000,000回（100億）を突破！

【お問い合わせ先について】
※1 業界の皆様・ご依頼の方々・その他ご相談がある方は、UUUMウェブサイトにある「サービス」からお願い致します。
※2 YouTubeメッセージ機能はフィッシャーズでは利用していません。ご理解いただけると幸いです。

【サービスに関するお問い合わせ（UUUM）】
http://www.uuum.co.jp/service",2012-08-24T03:11:12Z,10883470830,6530000,False,2245
UC3-1iYGHfR43q_b974vUNYg,フェルミ研究所 FermiLab,"こちらは面白くてためになる漫画動画チャンネルです。

フェルミ研究所では協力してくださる「漫画家」を随時募集しております。
ツイッターかメールにてご連絡ください。
https://bosyu.me/b/RmAHBl2rJ7Q

※企業案件、取材、インタビューはお断りしております。",2016-03-04T12:01:39Z,1218920633,2150000,False,698
